"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDICAL HISTORY AND BIOETH Section","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"218
001
History-20th C Am Medicine","","11","3.591","45.5","27.3","27.3",".",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"504
001
Society&Health Care-Am Hist","","14","3.214","28.6","21.4","28.6","7.1","14.3",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"508
001
Health, Disease&Healing II","","19","3.440","31.6","31.6","31.6","5.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".","."
"561
001
Greek & Roman Med & Phcy","","16","3.933","87.5",".","6.3",".",".",".","",".","","6.3",".","",".",".","",".","",".","",".",".","."
"699
003
Ind Study in Med History","","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MED HIST
Dept. Total
452","","61","3.536","47.5","19.7","24.6","3.3","3.3","",".","",".","1.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","#","","Ave","A","AB","B","BC","C","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","","6","3.583","50.0","16.7","33.3",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Junior","","13","3.346","30.8","30.8","23.1","7.7","7.7","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","37","3.603","54.1","16.2","21.6","2.7","2.7","",".","",".","2.7","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","56","3.540","48.2","19.6","23.2","3.6","3.6","",".","",".","1.8","",".",".","",".","",".","",".",".",".","."
"Graduate","","5","3.500","40.0","20.0","40.0",".",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Dept. Total","","61","3.536","47.5","19.7","24.6","3.3","3.3","",".","",".","1.6","",".",".","",".","",".","",".",".",".","."
