"RISK MANAGEMENT AND INSUR Section","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","",""
"300
001
Principles-Risk Management","256","3.043","19.9","12.1","45.7","3.5","16.0","2.0",".","0.8",".","",".",".","",".","",".",".",".","."
"399
003","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"399
017","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"399
039","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"399
079","21","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"Course Total
Rdg&Rsch-Risk Management","24","3.962","91.7",".","4.2",".",".",".",".",".","",".",".","",".","",".","4.2",".",".","."
"610
001
Property Risk Management","57","3.246","28.1","10.5","49.1","7.0","5.3",".",".",".",".","",".",".","",".","",".",".",".","."
"620
002
Employee Benefits Managemnt","26","3.385","30.8","38.5","26.9",".",".",".","3.8",".",".","",".",".","",".","",".",".",".","."
"630
001
Life and Health Insurance","43","3.369","32.6","20.9","32.6","9.3","2.3",".",".",".",".","",".",".","",".","",".","2.3",".","."
"640
001
Mgt-Insurance Enterprise","38","2.947","10.5","28.9","26.3","7.9","26.3",".",".",".",".","",".",".","",".","",".",".",".","."
"700
001
Principles of Risk Mgmt","11","3.591","63.6","18.2",".","9.1","9.1",".",".",".",".","",".",".","",".","",".",".",".","."
"799
003","4","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"799
017","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
Rdg & Rsch-Risk Management","5","***","","","","","","","","","","","","","","","","","","",""
"815
001
Risk Financing Techniques","10","4.000","100.0",".",".",".",".",".",".",".",".","",".",".","",".","",".",".",".","."
"990
017","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"990
039","1","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"990
079","2","***","","","","","","","","","","",".",".","",".","",".",".",".","."
"Course Total
PhD Thesis-Risk&Insurance","4","***","","","","","","","","","","","","","","","","","","",""
"R M I
Dept. Total
241","474","3.162","28.9","14.6","37.3","4.4","11.8","1.1","0.2","1.3","",".",".","",".","",".","0.2","0.2",".","."
"Summary by Level","#","Ave","A","AB","B","BC","C","D","F","S","U","","CR","N","","P","","I","NW","NR","Other"
"","Grades","GPA","","","","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","","",""
"Sophomore","14","3.206","28.6","35.7","21.4","7.1","7.1",".",".",".","",".",".","",".","",".",".",".",".","."
"Junior","160","3.022","25.6","6.9","43.8","5.6","17.5","0.6",".",".","",".",".","",".","",".",".",".",".","."
"Senior","239","3.136","23.0","17.6","40.6","4.2","10.9","1.7","0.4","0.8","",".",".","",".","",".","0.4","0.4",".","."
"Undergraduates","413","3.095","24.2","14.0","41.2","4.8","13.3","1.2","0.2","0.5","",".",".","",".","",".","0.2","0.2",".","."
"Special","3","3.500","33.3","33.3","33.3",".",".",".",".",".","",".",".","",".","",".",".",".",".","."
"Graduate","58","3.698","62.1","17.2","10.3","1.7","1.7",".",".","6.9","",".",".","",".","",".",".",".",".","."
"Dept. Total","474","3.162","28.9","14.6","37.3","4.4","11.8","1.1","0.2","1.3","",".",".","",".","",".","0.2","0.2",".","."
