"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"411
Psychosocial Aspects-Pharm","001","","118","3.521","45.8","23.7","22.9","4.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"490
Select Topics-Soc&Adm Phcy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"510
Marketng&Econ Aspects-Pharm","001","","106","2.967","7.5","27.4","32.1","21.7","8.5","2.8",".",".",".",".",".",".",".",".",".","."
"561
Greek & Roman Med & Phcy","001","","32","3.813","75.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"621
Community Phcy Management","001","","10","3.150",".","50.0","30.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
"699","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","012","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911
Conference-Research Workers","001","","14","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","10","",".",".",".",".",".",".",".","80.0",".",".",".","20.0",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
