"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"299","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"299","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"299","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"362","001","","40","3.150","32.5","15.0","32.5","10.0","2.5","5.0","2.5",".",".",".",".",".",".",".",".","."
"362","002","","181","2.909","22.1","15.5","27.1","9.9","14.9","4.4","3.3","1.7",".",".",".",".",".","1.1",".","."
"Development of Young Child","Course Total","","221","2.954","24.0","15.4","28.1","10.0","12.7","4.5","3.2","1.4",".",".",".",".",".","0.9",".","."
"363","001","","38","3.014","15.8","18.4","23.7","31.6","7.9",".",".","2.6",".",".",".",".",".",".",".","."
"363","002","","197","2.961","13.7","15.2","39.1","19.8","7.6","1.5","1.5","1.5",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","Course Total","","235","2.970","14.0","15.7","36.6","21.7","7.7","1.3","1.3","1.7",".",".",".",".",".",".",".","."
"460
Intellect Develop&Preschool","001","","27","3.923","81.5","14.8",".",".",".",".",".",".",".",".",".",".",".",".","3.7","."
"461
Soc&Emotnl Dev-Early Educ","001","","28","3.946","96.4",".",".","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"463
Teaching Laboratory","001","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"469
Family&Com Influences-Child","001","","29","3.446","27.6","37.9","24.1","6.9",".",".",".",".",".",".",".",".","3.4",".",".","."
"471
Parent-Child Relations","001","","51","3.843","90.2",".","7.8",".",".",".","2.0",".",".",".",".",".",".",".",".","."
"474
Ethnic Minority Families-US","001","","31","3.694","67.7","12.9","9.7","9.7",".",".",".",".",".",".",".",".",".",".",".","."
"501
Special Topics","001","","30","3.383","23.3","40.0","30.0","3.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"516
Family Stress and Coping","001","","29","3.483","48.3","27.6","17.2",".","3.4",".","3.4",".",".",".",".",".",".",".",".","."
"535
Family Perspctv-Policymakng","001","","29","3.828","79.3","6.9","13.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"564
Early Child Ed Tchg Practcm","001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"565
Preschool Stdt Teacher Smr","001","","20","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"566
Sr Seminar-Chld&Fam Studies","001","","26","3.462","23.1","46.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"601","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"601","008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"601","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"601","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"601","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"601","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","21","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"664
Prosmr: Child & Fam Studies","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"691
Senior Thesis","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","3.857","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"725
Theory & Issues-Human Dev","001","","6","3.583","50.0","16.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"766","001","","15","3.700","66.7","20.0","6.7",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"766","002","","11","3.727","45.5","54.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","26","3.712","57.7","34.6","3.8",".","3.8",".",".",".",".",".",".",".",".",".",".","."
"865
Family Theory I (Survey)","001","","20","3.550","60.0","25.0",".","5.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"870
Work and Family","001","","7","3.214","57.1",".",".","14.3","28.6",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 139 of 388",""
