"MEDICINE","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Clin Rheumatol Clerk-Mshfld","989
005","1","***","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"MEDICINE
632","Dept. Total","349","3.563","42.4","30.7","16.9","1.1","",".","",".","",".","7.2","0.6",".","",".","",".","",".",".",".","1.1"
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","U","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","","","","","","",""
"Senior","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Undergraduates","","1","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Special","","4","",".",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","100.0"
"Graduate","","2","4.000","100.0",".",".",".","",".","",".","",".",".",".",".","",".","",".","",".",".",".","."
"Prof Yr 1","","7","3.500","42.9","14.3","14.3",".","",".","",".","",".","28.6",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","3","3.167",".","33.3","33.3",".","",".","",".","",".",".","33.3",".","",".","",".","",".",".",".","."
"Prof Yr 3","","131","3.427","31.3","33.6","29.0","2.3","",".","",".","",".","3.1","0.8",".","",".","",".","",".",".",".","."
"Prof Yr 4","","201","3.724","50.2","30.3","9.5","0.5","",".","",".","",".","9.5",".",".","",".","",".","",".",".",".","."
"Professionals","","342","3.561","42.4","31.3","17.3","1.2","",".","",".","",".","7.3","0.6",".","",".","",".","",".",".",".","."
"","Dept. Total","349","3.563","42.4","30.7","16.9","1.1","",".","",".","",".","7.2","0.6",".","",".","",".","",".",".",".","1.1"
