"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699
Independent Study","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"746
Intrdis Care-Chld/Chron Illnss","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","001","","20","3.400","15.0","55.0","25.0","5.0",".",".",".",".",".",".",".",".",".",".",".","."
"812","002","","13","3.538","23.1","61.5","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","003","","17","3.559","17.6","76.5","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","004","","20","3.575","25.0","65.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","70","3.514","20.0","64.3","14.3","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"910","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"919","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"919","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","5","***","","","","","","","","","","","","","","","",""
"920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","12","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Clin Pediatric Clerk-StMary","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922
Clin Pediatric Clerk-Mshfld","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rural Pediatrics-Whitehall","Course Total","","2","***","","","","","","","","","","","","","","","",""
"926","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"926","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambul Clin Ped Clerk-LaCros","Course Total","","2","***","","","","","","","","","","","","","","","",""
"928","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"928","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Subintrn Newborn Med-Meritr","Course Total","","4","***","","","","","","","","","","","","","","","",""
"930
Peds Sub-Intrn Newborn-Milw","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946
Child Psych Clerk-CSC","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"950","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ped Endocr/DiabetesClrk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"953","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"956","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 344 of 388",""
