"THERAPEUTIC SCI (DEPT-KINES Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100","001","","34","3.279","26.5","38.2","17.6","11.8","2.9",".","2.9",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105","001","","8","3.773","50.0","25.0","12.5",".",".",".",".","12.5",".",".",".",".",".",".",".","."
"Medical Terminology","148","001","","53","3.882","83.0","3.8","9.4",".",".",".",".","3.8",".",".",".",".",".",".",".","."
"Neurology","502","001","","43","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Orthopedics","503","001","","43","3.488","11.6","76.7","9.3","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Therapeutic Use of Activity","524","001","","43","3.860","72.1","27.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lifespan Occupatnl Perfrmnc","530","001","","44","3.614","38.6","47.7","11.4","2.3",".",".",".",".",".",".",".",".",".",".",".","."
"Basic Occ Ther Pro Practice","538","001","","43","3.988","97.7","2.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","546","001","","14","3.286","7.1","42.9","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Augmentative Commun","631","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties I","639","001","","43","3.453","20.9","53.5","20.9","4.7",".",".",".",".",".",".",".",".",".",".",".","."
"Thry-Occup,Adaptn,Mntl Hlth","648","001","","44","3.864","77.3","18.2","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship in Mental Health","649","001","","43","3.826","69.8","25.6","4.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","662","001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","662","002","","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork in Mental Health","","Course Total","","40","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664","001","","26","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","664","002","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Fieldwork-Physical Disabil","","Course Total","","39","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","699","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","791","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","791","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","","Course Total","","3","***","","","","","","","","","","","","","","","",""
"","799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","","2","***","","","","","","","","","","","","","","","",""
