"PHARMACEUTICAL SCIENCES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"Drugs and Their Actions","310","001","102","3.150","35.3","12.7","25.5","8.8","8.8","6.9",".","2.0",".",".",".",".",".",".",".","."
"Survey of Pharmacology","401","001","163","3.191","31.9","14.7","30.1","11.0","9.2","1.8","0.6","0.6",".",".",".",".",".",".",".","."
"Intro-Drug Action&Delivry I","420","001","132","2.844","11.4","20.5","13.6","34.8","18.2","0.8",".","0.8",".",".",".",".",".",".",".","."
"Phmcol:Non-Prescriptn Drugs","465","001","77","2.851","6.5","14.3","37.7","26.0","15.6",".",".",".",".",".",".",".",".",".",".","."
"Selected Topics-Pharm Sci","490","001","103","3.636","51.5","30.1","17.5",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"","495","001","37","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","495","002","37","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","495","003","27","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Selected Topics-Pharm Sci","","Course Total","101","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Pharmacology I","521","001","120","2.575","5.8","12.5","23.3","17.5","35.8","5.0",".",".",".",".",".",".",".",".",".","."
"Medicinal Chemistry I","531","001","110","2.595","8.2","3.6","39.1","8.2","36.4","3.6","0.9",".",".",".",".",".",".",".",".","."
"Drug Delivery Systems","540","001","104","2.909","2.9","25.0","31.7","31.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"Drug Delivery Systems Lab I","541","001","103","3.636","51.5","30.1","17.5",".",".",".","1.0",".",".",".",".",".",".",".",".","."
"Pharmacology III","623","001","118","2.780","5.9","11.0","39.8","22.9","18.6","1.7",".",".",".",".",".",".",".",".",".","."
"Toxicology I","625","001","16","2.875","12.5","6.3","43.8","18.8","18.8",".",".",".",".",".",".",".",".",".",".","."
"Drug Interactions","635","001","13","3.633","38.5","46.2","15.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis","691","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","","Course Total","12","3.885","91.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacokinetics","768","001","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics in Pharm Sci","770","001","9","3.500",".","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics-Pharm Sci","780","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Chem-Biology Interface I","890","001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","931","001","29","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","006","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","008","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","009","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","010","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","012","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","013","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","014","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","015","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","018","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","019","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","28","",".",".",".",".",".",".",".","78.6",".",".",".","21.4",".",".",".","."
"Advanced Independent Study","999","015","4","***","","","","","","","","","",".",".",".",".",".",".","."
