"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"","741
001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
002","","11","3.864","81.8","9.1","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
101","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","26","3.896","80.8","15.4","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chld/Chron Illnss","746
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
001","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
002","","10","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
003","","8","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
760","","7","3.714","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
101","","8","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
102","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pharmacy Specialty Clrk","Course Total","","45","3.800","62.2","35.6","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
003","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
004","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
101","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Ambltry Phmct Care Clrk","Course Total","","35","3.942","88.6","11.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","771
001","","13","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","771
002","","14","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"","771
003","","11","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Current Iss-Phm Prac & Rsch I","Course Total","","38","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Conf:Rsch Workers Hosp Phm","961
001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999
027","","3","***","","","","","","","","","",".",".",".",".",".",".","."
