"ANIMAL HEALTH & BIOMEDICAL Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"952
AHABS","","","","","","","","","","","","","","","","","","","",""
"150
Topics & Careers in Vet Sci","001","","56","3.782","75.0","17.9","1.8",".","1.8",".","1.8",".",".",".",".",".",".",".","1.8","."
"299
Independent Study","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"301
Physiol-Domestic&Lab Animal","001","","14","2.607","21.4","7.1",".","14.3","57.1",".",".",".",".",".",".",".",".",".",".","."
"528
Immunology","001","","14","2.893","21.4","7.1","42.9",".","21.4","7.1",".",".",".",".",".",".",".",".",".","."
"529
Immunology Laboratory","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"625
Toxicology I","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"681","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","2","***","","","","","","","","","","","","","","","",""
"740
Mech Microbial Pathogenesis","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Pract-Veterinary Sci Tchg","Course Total","","8","3.792","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"875","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920
Thesis Research Seminar","001","","10","4.000","70.0",".",".",".",".",".",".","10.0",".",".",".","20.0",".",".",".","."
"930","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"930","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"930","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"930","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Seminar","Course Total","","17","3.900","70.6","17.6",".",".",".",".",".","11.8",".",".",".",".",".",".",".","."
"990","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","6","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","010","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","028","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","031","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","033","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 385 of 388",""
