"RADIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"832
RADIOL","","","","","","","","","","","","","","","","","","","",""
"820","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"820","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"820","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"820","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"820","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Radiology Selective","Course Total","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","3","***","","","","","","","","","","","","","","","",""
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","3","3.900","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","5","***","","","","","","","","","","","","","","","",""
"920","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","Section Total","","4","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","005","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7"
"920","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"920","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Diagnostic Radiol Clerk-CSC","Course Total","","43","4.000","97.7",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.3"
"923
Clin Nuclr Med Clerk-CSC/VA","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"924","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"924","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Radiol Clerk-St Lukes","Course Total","","7","3.571","14.3","85.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
