"SOCIOLOGY","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","","",""
"Criminology","441","002","97","3.062","17.5","25.8","27.8","15.5","10.3","3.1",".",".",".",".",".",".",".",".",".","."
"","475","001","39","3.227","28.2","23.1","23.1","15.4","10.3",".",".",".",".",".",".",".",".",".",".","."
"","475","002","38","3.013","21.1","23.7","21.1","15.8","13.2","5.3",".",".",".",".",".",".",".",".",".","."
"","475","003","26","3.020","34.6","19.2","7.7","15.4","11.5",".","7.7",".",".",".",".",".",".",".",".","3.8"
"Classical Soc Theory","","Course Total","103","3.098","27.2","22.3","18.4","15.5","11.7","1.9","1.9",".",".",".",".",".",".",".",".","1.0"
"Contemporary Soc Theory","476","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in Sociology","496","001","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","530","001","46","3.033","17.4","28.3","23.9","17.4","6.5","6.5",".",".",".",".",".",".",".",".",".","."
"","530","002","35","2.718","20.0","5.7","20.0","25.7","20.0","5.7","2.9",".",".",".",".",".",".",".",".","."
"Intro-Social Psychology","","Course Total","81","2.916","18.5","18.5","22.2","21.0","12.3","6.2","1.2",".",".",".",".",".",".",".",".","."
"Sociology of Medicine","531","001","34","3.519","32.4","44.1","17.6","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Small Groups","538","001","23","3.205","21.7","13.0","47.8","8.7","4.3",".",".",".",".",".",".",".",".",".",".","4.3"
"Intro to Survey Research","544","001","24","3.583","54.2","20.8","16.7","4.2","4.2",".",".",".",".",".",".",".",".",".",".","."
"Soc Perspec-Life Course&Age","575","001","31","3.899","90.3","6.5",".",".","3.2",".",".",".",".",".",".",".",".",".",".","."
"Rur Minority Grp&Povrty-U S","578","001","22","3.134","18.2","40.9","13.6","13.6","9.1","4.5",".",".",".",".",".",".",".",".",".","."
"Sociology of Culture","616","001","41","3.444","29.3","36.6","26.8","7.3",".",".",".",".",".",".",".",".",".",".",".","."
"Community Development","617","001","12","3.473","50.0","16.7","8.3","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"Compar Societal Analysis","620","001","33","3.520","30.3","48.5","18.2",".","3.0",".",".",".",".",".",".",".",".",".",".","."
"Class,State&Ideol:IntroMarx","621","001","19","3.526","57.9","15.8","15.8","5.3",".","5.3",".",".",".",".",".",".",".",".",".","."
"Political Sociology","624","001","18","3.056","38.9",".","33.3",".","22.2","5.6",".",".",".",".",".",".",".",".",".","."
"Sociology of the Family","640","001","81","3.074","22.2","29.6","24.7","9.9","6.2","3.7","3.7",".",".",".",".",".",".",".",".","."
"Sociology of Law","641","001","121","3.746","79.3","6.6","8.3",".","4.1","0.8","0.8",".",".",".",".",".",".",".",".","."
"Modern American Communities","645","001","34","3.706","67.6","11.8","14.7","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"Sociology of Education","648","001","10","3.290","40.0","10.0","30.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Population and Society","663","001","30","3.687","40.0","56.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","681","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","030","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","041","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","046","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","681","094","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".","14.3",".",".",".","."
"","682","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","068","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","2","***","","","","","","","","","","","","","","","",""
"","691","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","018","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","691","090","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis","","Course Total","4","***","","","","","","","","","","","","","","","",""
"","698","013","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","698","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 289 of 388",""
