"NEUROLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"676
NEUROL","","","","","","","","","","","","","","","","","","","",""
"","812
001","","12","3.500","25.0","50.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
002","","13","3.538","38.5","30.8","30.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","15","3.643","46.7","33.3","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".","6.7"
"","812
004","","12","3.708","50.0","41.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","005
812","","9","3.556","33.3","44.4","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","9","3.389","44.4","11.1","33.3",".","11.1",".",".",".",".",".",".",".",".",".",".","."
"Third Year Neurology","Course Total","","70","3.565","40.0","35.7","20.0","1.4","1.4",".",".",".",".",".",".",".",".",".",".","1.4"
"Clin Neurol Consul Serv-CSC","922
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","923
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","923
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Neurol-Outpt Clerk-CSC","Course Total","","2","***","","","","","","","","","","","","","","","",""
"","927
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","927
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Clerk Neurology-VAH","Course Total","","2","***","","","","","","","","","","","","","","","",""
