"SURGERY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"936
SURGERY","","","","","","","","","","","","","","","","","","","",""
"812","001","","29","3.075",".","31.0","55.2","13.8",".",".",".",".",".",".",".",".",".",".",".","."
"812","002","","23","3.114","8.7","21.7","47.8","17.4",".",".",".",".",".",".",".",".","4.3",".",".","."
"812","003","","25","3.354","32.0","32.0","24.0","4.0",".",".","4.0",".",".",".",".",".","4.0",".",".","."
"Third Year Surgery","Course Total","","77","3.177","13.0","28.6","42.9","11.7",".",".","1.3",".",".",".",".",".","2.6",".",".","."
"824","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"824","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"824","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"824","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"824","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neurosurgery Selective","Course Total","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"910","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","6","3.895","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"919
Individualized 4th Yr Clerk","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surgery Clerkship-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"921","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-Meriter","Course Total","","15","3.088",".","20.0","80.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"923","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"923","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clrkshp-St Mary's","Course Total","","8","3.867","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"924","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerkship-LaCrosse","Course Total","","3","***","","","","","","","","","","","","","","","",""
"925","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gen Surg Clerk-Marshfield","Course Total","","3","***","","","","","","","","","","","","","","","",""
"930","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 362 of 388",""
