"MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"632
MEDICINE","","","","","","","","","","","","","","","","","","","",""
"699","160","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","163","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"812","001","","28","3.333","17.9","28.6","42.9","3.6",".",".",".",".","7.1",".",".",".",".",".",".","."
"812","002","","27","3.370","22.2","37.0","33.3","7.4",".",".",".",".",".",".",".",".",".",".",".","."
"812","003","","26","3.353","23.1","23.1","53.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prin Int Med-Basic Clrkship","Course Total","","81","3.353","21.0","29.6","43.2","3.7",".",".",".",".","2.5",".",".",".",".",".",".","."
"819
Individualized 3rd Yr Clerk","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"910","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Rdg & Rsch-4th Yr Med","Course Total","","2","***","","","","","","","","","","","","","","","",""
"915
Therapeut&Cl Pharmacol-VAH","002","","23","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"919","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","3","***","","","","","","","","","","","","","","","",""
"920","001","","15","3.700","53.3","40.0",".","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"920","002","","20","3.775","65.0","25.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","003","","18","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","004","","15","3.733","53.3","40.0","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","005","","14","3.679","42.9","50.0","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"920","006","","9","3.556","22.2","66.7","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Req 4th Yr Med Subintrnshp","Course Total","","91","3.731","53.8","39.6","5.5","1.1",".",".",".",".",".",".",".",".",".",".",".","."
"921","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"921","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"921","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulat Med Clerk-Stdt Hlth","Course Total","","6","3.750","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"926
Gen Med In/Outpatnt-Mrshfld","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"933
Geriat Subinternshp-CSC/VAH","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"940","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"940","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Allergy&ClinImmun Clerk-CSC","Course Total","","6","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"943","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"943","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"943","009","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"943","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"943","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
