"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Woman-Western Culture","101","001","111","3.500","30.6","40.5","24.3","1.8","0.9",".",".",".",".",".",".",".",".","1.8",".","."
"Women-Soc Inst & Soc Change","102","001","110","3.164","20.9","25.5","31.8","11.8","3.6","2.7","0.9","2.7",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","398","3.387","30.2","39.4","18.8","6.3","2.3","0.8","1.5","0.8",".",".",".",".",".",".",".","."
"","215","001","16","2.719","12.5","25.0","12.5","18.8","18.8","12.5",".",".",".",".",".",".",".",".",".","."
"","215","002","16","3.156","18.8","18.8","43.8","12.5","6.3",".",".",".",".",".",".",".",".",".",".","."
"Gender & Work-Rural America","","Course Total","32","2.938","15.6","21.9","28.1","15.6","12.5","6.3",".",".",".",".",".",".",".",".",".","."
"Race & Ethnicity-U.S. Women","223","001","74","2.838","9.5","23.0","28.4","13.5","16.2","2.7","2.7","4.1",".",".",".",".",".",".",".","."
"Women in Literature","250","001","20","3.375","25.0","25.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","320","000A","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","320","001","27","3.596","48.1","25.9","14.8","7.4",".",".",".",".",".",".",".",".",".",".",".","3.7"
"Topics - Women & Society","","Course Total","28","3.611","50.0","25.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","3.6"
"Gender, Race & Class","323","001","42","3.734","54.8","33.3","9.5",".",".",".",".",".",".",".",".",".","2.4",".",".","."
"Gender/Class/Race/Ethn(Hum)","330","001","20","3.447","35.0","30.0","20.0","5.0","5.0",".",".",".",".",".",".",".",".","5.0",".","."
"Women in Medieval Society","416","001","29","3.345","34.5","34.5","20.7",".","6.9",".","3.4",".",".",".",".",".",".",".",".","."
"Women:Cross-Soc Perspective","420","001","43","3.209","16.3","34.9","34.9","11.6",".",".","2.3",".",".",".",".",".",".",".",".","."
"Constructns-Gender in Media","421","001","46","3.370","21.7","41.3","32.6","2.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"Black Feminisms","423","001","11","3.136","9.1","36.4","36.4","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"Chicana Feminisms","425","001","13","3.667","38.5","46.2","7.7",".",".",".",".",".",".",".",".",".",".","7.7",".","."
"Contemp Feminist Theories","441","001","40","3.800","65.0","30.0","5.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Gender and Education","560","001","30","3.733","70.0","26.7",".",".",".",".","3.3",".",".",".",".",".",".",".",".","."
"Asian Amer Women Writers","595","001","8","2.750",".","37.5","37.5","12.5",".",".","12.5",".",".",".",".",".",".",".",".","."
"Advanced Smr in Women's St","640","001","26","3.500","26.9","50.0","19.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Senior Thesis I","691","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis II","692","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","698","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","020","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","102","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","10","3.731","50.0","40.0",".","10.0",".",".",".",".",".",".",".",".",".",".",".","."
