"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699
Independent Study","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"812","001","","16","3.656","50.0","43.8",".",".","6.3",".",".",".",".",".",".",".",".",".",".","."
"812","002","","12","3.625","58.3","25.0","8.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"812","003","","14","3.571","42.9","42.9","7.1",".","7.1",".",".",".",".",".",".",".",".",".",".","."
"812","004","","13","3.500","46.2","23.1","23.1",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"812","005","","12","3.792","66.7","25.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","006","","7","3.357","42.9","14.3","28.6",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","74","3.601","51.4","31.1","10.8",".","6.8",".",".",".",".",".",".",".",".",".",".","."
"922","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"922","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"923
SpecAdultPsychClerk-Mendota","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"924","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"924","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"924","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","Course Total","","5","***","","","","","","","","","","","","","","","",""
"925","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"925","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","004","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"925","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Psy Clerk-CSC/MHC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"930
Geriatric Psychiat Clrk-VAH","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PSYCHIAT
814","Dept. Total","","95","3.662","61.1","24.2","8.4","1.1","5.3",".",".",".",".",".",".",".",".",".",".","."
