"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"415","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"415","002","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Community Pharm Externship","Course Total","","17","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"470
Computr Applic Phmcy Pract","001","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"490
Select Topics-Pharmacy Prac","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"550","001","","47","3.457","36.2","29.8","25.5","6.4","2.1",".",".",".",".",".",".",".",".",".",".","."
"550","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"550","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fluid & Electrolyte Therapy","Course Total","","52","3.490","40.4","26.9","25.0","5.8","1.9",".",".",".",".",".",".",".",".",".",".","."
"555
Pharmacotherapy I","001","","104","3.337","32.7","21.2","34.6","5.8","4.8","1.0",".",".",".",".",".",".",".",".",".","."
"570","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"570","003","","7","2.143","28.6",".","14.3",".","28.6",".","28.6",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","Course Total","","9","2.556","44.4",".","11.1",".","22.2",".","22.2",".",".",".",".",".",".",".",".","."
"600
Interdis Rur Prim Hlth Care","001","","6","3.667","33.3","66.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"612
Radiopharmaceuticals","001","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"616
Institutional Pharmcy Pract","001","","8","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"620
Cl Case Studies-Ambultry Care","001","","35","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"655
Pharmacotherapy III","001","","102","3.034","12.7","19.6","39.2","18.6","9.8",".",".",".",".",".",".",".",".",".",".","."
"670
Veterinary Therapeutics","001","","46","3.967","93.5","6.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"675","001","","7","2.714",".",".","42.9","57.1",".",".",".",".",".",".",".",".",".",".",".","."
"675","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"675","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Health Pharmacother","Course Total","","9","2.667","11.1",".","33.3","44.4",".","11.1",".",".",".",".",".",".",".",".",".","."
"699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","020","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","027","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"723","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"723","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Renal Pharmacotherapy","Course Total","","5","***","","","","","","","","","","","","","","","",""
"725","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"725","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Immunology Pharmacotherapy","Course Total","","4","***","","","","","","","","","","","","","","","",""
"727","002","","6","3.333","50.0",".","33.3",".","16.7",".",".",".",".",".",".",".",".",".",".","."
"727","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Neuropsych Pharmacotherapy","Course Total","","7","3.286","42.9",".","42.9",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"740","001","","12","3.875","91.7",".",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"740","002","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","101","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharmacy Specialty Clerkshp","Course Total","","22","3.907","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
