"MED","","","","","","","","","","","","","","","","","","","",""
"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"","699
039","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","812
003","","38","3.946","89.5","5.3","2.6",".",".",".",".",".",".",".",".",".",".",".",".","2.6"
"","004
812","","32","3.859","71.9","28.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","70","3.906","81.4","15.7","1.4",".",".",".",".",".",".",".",".",".",".",".",".","1.4"
"Indep Rdg & Rsch-4th Yr Med","910
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-Mendota","924
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"PSYCHIAT
814","Dept. Total","","79","3.912","83.5","13.9","1.3",".",".",".",".",".",".",".",".",".",".",".",".","1.3"
