"MED","","","","","","","","","","","","","","","","","","","","",""
"","MEDICAL HISTORY AND BIOETH Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","","GPA","","","","","","","","","","","","","","","",""
"452
MED HIST","","","","","","","","","","","","","","","","","","","","",""
"The Physician in History","212","001","","25","3.375","28.0","24.0","40.0",".","4.0",".",".",".",".",".",".",".",".",".","4.0","."
"Physician in Hist (Honors)","284","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"History of Modern Biology","333","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Health, Disease&Healing II","508","001","","8","3.540","25.0","62.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Dev Public Health-America","509","001","","8","3.500","37.5","25.0","12.5","12.5",".",".",".","12.5",".",".",".",".",".",".",".","."
"Race, Amer Med & Pub Health","523","001","","12","3.708","66.7","16.7","8.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ethical Probs-Biomed Tech","558","001","","11","3.409","27.3","36.4","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562","001","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin Medicine Since 1750","575","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Topics in History of Med","668","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Ind Study in Med History","699","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Hist Perspectives-Medicine","720","001","","33","",".",".",".",".",".",".",".","97.0",".",".",".",".",".",".",".","3.0"
"Ethical Issues in Medicine","730","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Law, Sci & Biotechnolgy Smr","906","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","999","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"MED HIST
452","","Dept. Total","","123","3.517","29.3","17.9","17.1","2.4","0.8",".",".","30.9",".",".",".",".",".",".","0.8","0.8"
