"PHARMACY PRACTICE","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","",""
"Clinical Med-Phy Asst II","401
001","36","3.097","8.3","30.6","33.3","27.8",".",".",".",".",".",".",".",".",".",".",".","."
"Pathophys Basis-Phmcotherpy","405
001","127","2.679","21.3","9.4","14.2","21.3","19.7","12.6","0.8",".",".",".",".",".",".","0.8",".","."
"","415
003","21","3.619","42.9","42.9","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"","415
004","21","3.571","57.1","19.0","19.0",".",".","4.8",".",".",".",".",".",".",".",".",".","."
"","415
005","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Pharm Externship","Course Total","46","3.598","50.0","30.4","15.2","2.2",".","2.2",".",".",".",".",".",".",".",".",".","."
"Intro-Pharm Care Clrkshp II","426
001","105","3.657","67.6",".","30.5",".","1.9",".",".",".",".",".",".",".",".",".",".","."
"Team Appr-Emergncy Care","448
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Computr Applic Phmcy Pract","470
001","9","3.500","44.4","22.2","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"","490
001","11","3.818","72.7","18.2","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
002","23","3.152","8.7","52.2","8.7","21.7","8.7",".",".",".",".",".",".",".",".",".",".","."
"","490
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
010","24","3.609","45.8","29.2","16.7","4.2",".",".",".","4.2",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","61","3.371","36.1","36.1","11.5","9.8","3.3",".","1.6","1.6",".",".",".",".",".",".",".","."
"","526
003","56","3.768","80.4",".","16.1",".","3.6",".",".",".",".",".",".",".",".",".",".","."
"","004
526","54","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phmceut Care Clrk IV","Course Total","110","3.800","81.8",".","16.4",".","1.8",".",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556
001","104","2.865","23.1","12.5","26.0","12.5","17.3","6.7","1.9",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570
001","105","2.729","6.7","12.4","30.5","32.4","13.3","3.8","1.0",".",".",".",".",".",".",".",".","."
"","662
003","19","3.342","26.3","31.6","26.3","15.8",".",".",".",".",".",".",".",".",".",".",".","."
"","662
004","20","3.325","25.0","45.0","10.0","10.0","10.0",".",".",".",".",".",".",".",".",".",".","."
"Inpatient Clerkshp&Extrnshp","Course Total","39","3.333","25.6","38.5","17.9","12.8","5.1",".",".",".",".",".",".",".",".",".",".","."
"","663
003","7","3.611","28.6","57.1","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","663
004","8","3.438","25.0","50.0","12.5","12.5",".",".",".",".",".",".",".",".",".",".",".","."
"Outpatient Clerkship","Course Total","15","3.529","26.7","53.3","13.3","6.7",".",".",".",".",".",".",".",".",".",".",".","."
"","664
003","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
004","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Vet Pharmacy Clerkship","Course Total","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Inpatient Clerkshp","666
005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","675
001","12","2.958",".","8.3","83.3",".","8.3",".",".",".",".",".",".",".",".",".",".","."
"","675
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Women's Health Pharmacother","Course Total","13","3.000",".","15.4","76.9",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"","699
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
027","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
044","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","7","3.857","85.7",".","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
001","14","3.286",".","57.1","42.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","710
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","710
003","2","***","","","","","","","","","",".",".",".",".",".",".","."
