"PHM","","","","","","","","","","","","","","","","","","","",""
"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Geriatric Pharmacotherapy","Course Total","","18","3.361","5.6","61.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","720
001","","35","3.300","20.0","31.4","40.0","5.7","2.9",".",".",".",".",".",".",".",".",".",".","."
"","720
002","","23","3.326","26.1","34.8","21.7","13.0","4.3",".",".",".",".",".",".",".",".",".",".","."
"","720
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Respiratory Pharmacotherapy","Course Total","","59","3.297","22.0","32.2","32.2","10.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"","721
001","","36","3.222","22.2","27.8","27.8","16.7","5.6",".",".",".",".",".",".",".",".",".",".","."
"","721
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Cardiovasclr Pharmacotherpy","Course Total","","37","3.243","24.3","27.0","27.0","16.2","5.4",".",".",".",".",".",".",".",".",".",".","."
"","722
001","","35","3.443","20.0","54.3","20.0","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","722
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","722
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","722
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Gastrointestnl Pharmacother","Course Total","","39","3.385","17.9","51.3","23.1","5.1","2.6",".",".",".",".",".",".",".",".",".",".","."
"Renal Pharmacotherapy","001
723","","35","3.200","22.9","22.9","28.6","22.9","2.9",".",".",".",".",".",".",".",".",".",".","."
"","725
001","","35","3.100","8.6","17.1","60.0","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"","725
002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","725
003","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Immunology Pharmacotherapy","Course Total","","42","3.107","11.9","14.3","57.1","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Neuropsych Pharmacotherapy","727
001","","35","3.714","51.4","40.0","8.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
003","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","004
740","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy Specialty Clerkshp","Course Total","","13","3.962","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
003","","7","3.591","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
103","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","9","3.615","44.4","33.3","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Drug Information Clerkship","742
001","","35","3.986","97.1","2.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
005","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
006","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","743
007","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","743
008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medicatn Use Policy Clrkshp","Course Total","","31","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
005","","9","3.833","77.8","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","006
760","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
007","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
008","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
130","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
207","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
208","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Pharmacy Specialty Clrk","Course Total","","30","3.883","80.0","16.7","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
006","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","761
007","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
008","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","761
104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 361 of 374",""
