"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"421
Intro-Drug Actn&Delivery II","001","","116","2.681","14.7","8.6","20.7","25.9","23.3","6.0","0.9",".",".",".",".",".",".",".",".","."
"432
Pharmceut Biochem & Biotech","001","","117","2.972","17.9","15.4","24.8","23.9","17.9",".",".",".",".",".",".",".",".",".",".","."
"522
Pharmacology II","001","","113","2.741","6.2","11.5","33.6","25.7","19.5","2.7",".","0.9",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","107","2.617","8.4","1.9","42.1","7.5","36.4","3.7",".",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","106","3.233","29.2","25.5","26.4","10.4","4.7","1.9","1.9",".",".",".",".",".",".",".",".","."
"558
Lab Techniques-Pharmacology","001","","8","3.063",".","37.5","50.0",".","12.5",".",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"692
Senior Thesis","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","024","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","047","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"731
Topics-Natural Product Chem","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"732
Selected Topics in Med Chem","001","","26","3.750","53.8","42.3","3.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"774
Interfacial&Colloidl Phenom","001","","20","3.737","50.0","40.0","5.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","002","","15","3.933","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"932","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","Course Total","","19","3.947","94.7",".","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","018","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","023","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","6","4.000","66.7",".",".",".",".",".",".","33.3",".",".",".",".",".",".",".","."
"990","029","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","032","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","34","3.955","44.1","2.9",".",".",".",".",".","29.4",".",".",".","23.5",".",".",".","."
"999
Advanced Independent Study","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
