"SOCIAL WORK","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"896
SOC WORK","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105","001","25","3.500","36.0","28.0","28.0","8.0",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction-Social Policy","206","001","163","3.506","31.9","42.3","17.2","6.7",".",".",".",".",".",".",".",".",".","0.6",".","1.2"
"","401","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","008","8","3.882","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","009","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","022","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","027","16","3.943","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","029","8","3.886","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","037","11","3.952","90.9","9.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","039","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","045","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","050","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","401","055","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","401","070","9","3.936","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Field Pract/Integrat Smr II","","Course Total","91","3.957","93.4","4.4","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol & Other Drug Abuse","453","001","222","3.182","17.1","22.1","38.3","16.7","2.3",".",".","3.2",".",".",".",".",".",".",".","0.5"
"Human Behavior & Environmnt","457","001","110","3.250","31.8","20.9","23.6","14.5","8.2","0.9",".",".",".",".",".",".",".",".",".","."
"Foster Care","576","001","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Policy","606","001","54","3.755","63.0","24.1","9.3","1.9",".",".",".","1.9",".",".",".",".",".",".",".","."
"Social Work with the Person","622","002","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Work with the Family","623","002","24","3.982","95.8","4.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Social Wrk with Small Group","624","001","24","3.776","70.8","8.3","16.7",".",".",".",".","4.2",".",".",".",".",".",".",".","."
"Social Work with Community","626","001","18","3.895","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Affectng Change-Socl Agency","627","001","21","3.810","57.1","38.1",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Ethnic and Racial Groups","640","001","69","3.986","98.6",".","1.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Welfare-Devel Disabilts","644","001","45","3.716","55.6","22.2","15.6",".",".",".",".",".",".",".",".",".",".","6.7",".","."
"Child Abuse and Neglect","646","001","23","3.863","78.3","21.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Methods-Social Wrk Research","650","001","54","3.377","22.2","29.6","46.3",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"American Indian Affairs","658","001","20","3.670","65.0","15.0","5.0","5.0","5.0",".",".","5.0",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","664","001","17","3.941","88.2","11.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Topics-Contemp Soc Welfare","677","001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","682","037","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","010","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","021","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","034","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","045","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","067","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","17","3.968","94.1","5.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intrdis Care-Chron Ill Chld","746","001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","800","005","1","***","","","","","","","","","",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","Page 282 of 374",""
