"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","812
003","","39","3.641","30.8","66.7","2.6",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"","812
004","","33","3.697","39.4","60.6",".",".","",".",".","",".","",".","",".","",".",".","",".","",".","",".",".","."
"Third Year Ophthalmology","Course Total","","72","3.667","34.7","63.9","1.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"OPHTHALM
702","Dept. Total","","72","3.667","34.7","63.9","1.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"702
OPHTHALM","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","","3","3.833","66.7","33.3",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","68","3.662","33.8","64.7","1.5",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","1","3.500",".","100.0",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","72","3.667","34.7","63.9","1.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","72","3.667","34.7","63.9","1.4",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
