"EDU","","","","","","","","","","","","","","","","","","",""
"THERAPEUTIC SCI (DEPT-KINES Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","54","3.906","92.6","1.9",".","1.9",".","1.9",".",".",".",".",".",".",".",".","1.9","."
"Health Care: Intrdis Appr","105
001","10","3.778","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Medical Terminology","148
001","52","3.857","76.9","7.7","9.6",".",".",".",".","5.8",".",".",".",".",".",".",".","."
"Adaptatn-Pediatric Disordrs","534
001","42","3.821","69.0","26.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Pediatrc Occ Ther","537
001","42","3.857","78.6","16.7","2.4","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkshp-Independent Living","544
001","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatns-Independnt Living","545
001","45","3.867","75.6","22.2","2.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","546
001","15","3.333","20.0","26.7","53.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","546
002","13","3.115","7.7","7.7","84.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adp&Cnst Eqp-Peopl/Disbilts","Course Total","28","3.232","14.3","17.9","67.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro to Scientific Inquiry","570
001","45","3.822","75.6","13.3","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Organization and Management","636
001","42","3.750","54.8","40.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adaptatn-Phys Disablties II","640
001","42","3.619","47.6","35.7","9.5","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"Clerkship-Phys Disabilities","641
001","42","3.714","59.5","28.6","9.5",".","2.4",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Mental Health","662
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","664
002","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork-Physical Disabil","Course Total","3","***","","","","","","","","","","","","","","","",""
"","670
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","670
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Fieldwork","Course Total","3","***","","","","","","","","","","","","","","","",""
"","699
024","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
033","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","2","***","","","","","","","","","","","","","","","",""
"Research and Thesis","791
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","799
035","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","3","***","","","","","","","","","","","","","","","",""
"THER SCI
939","Dept. Total","503","3.746","69.2","18.1","8.7","1.0","0.2","0.2",".","0.6",".","1.2","0.4","0.2",".",".","0.2","."
