"PHYSICAL EDUC ACTIVITY PRO Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"740
PE ACTIV","","","","","","","","","","","","","","","","","","",""
"Exercise,Nutrition,&Health","100
001","194","2.560","9.8","13.4","21.1","12.9","31.4","8.8","1.5","0.5",".",".",".",".","0.5",".",".","."
"","102
001","12","3.625","33.3","25.0",".","8.3",".",".",".","33.3",".",".",".",".",".",".",".","."
"","002
102","13","3.636","46.2","30.8",".",".","7.7",".",".","15.4",".",".",".",".",".",".",".","."
"Beginning Swimming","Course Total","25","3.632","40.0","28.0",".","4.0","4.0",".",".","24.0",".",".",".",".",".",".",".","."
"","111
001","17","3.750","29.4","29.4",".",".",".",".",".","41.2",".",".",".",".",".",".",".","."
"","111
002","25","3.595","24.0","52.0","8.0",".",".",".",".","16.0",".",".",".",".",".",".",".","."
"","111
003","25","3.611","16.0","56.0",".",".",".",".",".","24.0",".",".",".",".",".",".",".","4.0"
"Self-defense&Assault Prevnt","Course Total","67","3.633","22.4","47.8","3.0",".",".",".",".","25.4",".",".",".",".",".",".",".","1.5"
"Adapted Fitness&Pers Traing","125
001","51","4.000","25.5",".",".",".",".",".",".","62.7",".",".",".",".","2.0",".","7.8","2.0"
"","127
001","21","2.958",".","28.6","19.0","4.8",".",".","4.8","42.9",".",".",".",".",".",".",".","."
"","127
002","19","3.125",".","10.5","5.3","5.3",".",".",".","78.9",".",".",".",".",".",".",".","."
"","127
003","21","2.906",".","33.3","28.6",".","9.5",".","4.8","23.8",".",".",".",".",".",".",".","."
"","127
004","18","3.136",".","38.9","5.6","11.1","5.6",".",".","38.9",".",".",".",".",".",".",".","."
"","127
005","18","3.250","5.6","16.7","16.7","5.6",".",".",".","55.6",".",".",".",".",".",".",".","."
"Bowling I","Course Total","97","3.039","1.0","25.8","15.5","5.2","3.1",".","2.1","47.4",".",".",".",".",".",".",".","."
"","129
001","27","3.875","55.6","18.5",".",".",".",".",".","22.2",".",".",".",".",".","3.7",".","."
"","129
002","39","3.929","84.6",".","2.6","2.6",".",".",".","7.7",".",".",".",".",".","2.6",".","."
"Intro to Yoga Practice","Course Total","66","3.909","72.7","7.6","1.5","1.5",".",".",".","13.6",".",".",".",".",".","3.0",".","."
"Running (Aerobic Fitness)","001
130","26","3.278","26.9","11.5","23.1","3.8",".",".","3.8","26.9",".",".",".",".",".","3.8",".","."
"","131
001","21","3.867","61.9","4.8",".","4.8",".",".",".","23.8",".",".",".",".",".","4.8",".","."
"","131
002","18","3.429","16.7","33.3","27.8",".",".",".",".","22.2",".",".",".",".",".",".",".","."
"","131
003","19","2.846","10.5","10.5","21.1","21.1",".",".","5.3","31.6",".",".",".",".",".",".",".","."
"Cross Traing-Basic Fitness","Course Total","58","3.405","31.0","15.5","15.5","8.6",".",".","1.7","25.9",".",".",".",".",".","1.7",".","."
"","132
001","19","3.692","42.1","10.5","15.8",".",".",".",".","26.3",".",".",".",".",".","5.3",".","."
"","132
002","22","3.292","13.6","18.2","13.6","4.5","4.5",".",".","45.5",".",".",".",".",".",".",".","."
"","132
003","20","3.955","50.0","5.0",".",".",".",".",".","45.0",".",".",".",".",".",".",".","."
"","132
004","22","3.618","22.7","50.0","4.5",".",".",".",".","22.7",".",".",".",".",".",".",".","."
"","132
005","23","3.650","34.8","43.5","8.7",".",".",".",".","13.0",".",".",".",".",".",".",".","."
"","132
006","21","3.833","28.6","14.3",".",".",".",".",".","57.1",".",".",".",".",".",".",".","."
"","132
007","26","3.333","15.4","19.2","15.4","3.8","3.8",".",".","42.3",".",".",".",".",".",".",".","."
"","132
008","17","3.781","76.5","5.9","5.9",".","5.9",".",".","5.9",".",".",".",".",".",".",".","."
"","132
009","18","3.633","50.0","16.7","11.1",".","5.6",".",".","16.7",".",".",".",".",".",".",".","."
"","132
010","23","3.088","30.4","13.0","17.4",".","4.3",".","8.7","26.1",".",".",".",".",".",".",".","."
"Weight Training","Course Total","211","3.569","34.6","20.4","9.5","0.9","2.4",".","0.9","30.8",".",".",".",".",".","0.5",".","."
"","133
001","20","3.433","25.0","25.0","20.0",".","5.0",".",".","15.0","10.0",".",".",".",".",".",".","."
"","133
002","20","3.417","25.0","20.0","10.0",".",".","5.0",".","30.0","5.0",".",".",".",".",".",".","5.0"
"","003
133","22","3.313","18.2","27.3","22.7",".",".","4.5",".","27.3",".",".",".",".",".",".",".","."
"","133
004","25","3.694","48.0","4.0","20.0",".",".",".",".","28.0",".",".",".",".",".",".",".","."
"","133
005","21","3.600","52.4","9.5","4.8",".",".",".","4.8","28.6",".",".",".",".",".",".",".","."
"","133
006","16","3.714","25.0","12.5","6.3",".",".",".",".","50.0","6.3",".",".",".",".",".",".","."
"","007
133","23","3.875","60.9","13.0","4.3",".",".",".",".","21.7",".",".",".",".",".",".",".","."
"Rhythmic/Step Aerobics","Course Total","147","3.587","37.4","15.6","12.9",".","0.7","1.4","0.7","27.9","2.7",".",".",".",".",".",".","0.7"
"","001
134","23","3.778","52.2","21.7",".","4.3",".",".",".","17.4",".",".",".",".",".","4.3",".","."
"","134
002","21","3.676","47.6","23.8","4.8",".","4.8",".",".","19.0",".",".",".",".",".",".",".","."
