"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","","",""
"WOMENS STUDIES","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"963
WOMEN ST","","","","","","","","","","","","","","","","","","","",""
"Woman-Western Culture","101","001","99","3.566","44.4","32.3","16.2","5.1",".","1.0",".","1.0",".",".",".",".",".",".",".","."
"Women-Soc Inst & Soc Change","102","001","94","3.392","22.3","44.7","25.5","5.3",".",".","1.1","1.1",".",".",".",".",".",".",".","."
"Womens Bodies-Hlth&Disease","103","001","393","3.443","32.8","36.9","17.3","6.1","2.3","0.8","0.5","2.8",".",".",".",".",".",".","0.5","."
"Gender & Work-Rural America","215","001","15","2.786","20.0",".","26.7","13.3","33.3",".",".","6.7",".",".",".",".",".",".",".","."
"Race & Ethnicity-U.S. Women","223","001","39","3.474","30.8","35.9","28.2",".","2.6",".",".","2.6",".",".",".",".",".",".",".","."
"Lt Trn:Fr Wom Writers Today","251","001","17","3.676","52.9","29.4","17.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","299","022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299","089","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Tpc:Women & Society","320","001","41","3.246","19.5","26.8","46.3","4.9",".",".","2.4",".",".",".",".",".",".",".",".","."
"Gender/Class/Race/Ethn(Hum)","330","001","31","3.617","41.9","38.7","19.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Women & Gender-U.S. to 1870","353","001","29","3.214","6.9","44.8","34.5","10.3","3.4",".",".",".",".",".",".",".",".",".",".","."
"Contemp Feminist Theories","441","001","38","3.421","26.3","36.8","31.6","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lesbian Culture","442","001","38","3.737","55.3","36.8","7.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Goddesses & Feminine Powers","464","001","34","3.172","14.7","26.5","32.4","17.6","2.9",".",".","2.9",".",".",".",".",".",".","2.9","."
"Feminism & Sociologicl Thry","477","001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Psychology of Women","522","001","20","3.816","75.0","5.0","15.0",".",".",".",".","5.0",".",".",".",".",".",".",".","."
"Women & Health-Amer History","531","001","31","3.352","25.8","41.9","19.4","6.5",".",".","3.2",".",".",".",".",".","3.2",".",".","."
"Gender and Education","560","001","43","3.714","67.4","16.3","7.0","2.3","4.7",".",".",".",".",".",".",".",".",".","2.3","."
"Advanced Smr in Women's St","640","001","36","3.931","88.9","8.3","2.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Perspctv-Black Women Writng","677","001","8","3.571","37.5","25.0","25.0",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"Senior Thesis I","691","019","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Thesis II","692","016","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","019","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","102","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","110","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","7","3.619","42.9","42.9","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hlth-Women Across Lifespan","735","001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rsch Methods in Women's St","900","001","11","3.864","72.7","27.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
