"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","",""
"L&S","","","","","","","","","","","","","","","","","","",""
"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"Marriage and Family","120
002","64","2.958","21.9","10.9","26.6","9.4","23.4","1.6",".","6.3",".",".",".",".",".",".",".","."
"Social Problems","130
001","73","3.036","38.4","1.4","31.5",".","17.8","2.7","4.1","2.7",".",".",".",".",".",".",".","1.4"
"Criminal Justice in America","131
001","105","3.096","15.2","19.0","44.8","15.2","2.9","1.0","1.0",".",".",".",".",".",".",".",".","1.0"
"","134
001","414","3.058","14.0","24.4","34.8","14.5","8.2","0.7","1.2","1.2",".",".",".",".","0.2","0.2",".","0.5"
"","002
134","90","2.989","16.7","17.8","38.9","8.9","11.1","2.2","2.2","1.1",".",".",".",".",".",".",".","1.1"
"Am Racial&Ethnic Minorities","Course Total","504","3.049","14.5","23.2","35.5","13.5","8.7","1.0","1.4","1.2",".",".",".",".","0.2","0.2",".","0.6"
"","138
001","70","3.414","61.4","4.3","21.4","1.4","5.7","1.4","4.3",".",".",".",".",".",".",".",".","."
"","138
002","94","3.303","28.7","29.8","24.5","11.7","3.2","2.1",".",".",".",".",".",".",".",".",".","."
"The Sociology of Gender","Course Total","164","3.351","42.7","18.9","23.2","7.3","4.3","1.8","1.8",".",".",".",".",".",".",".",".","."
"","160
001","138","2.835","10.9","21.0","22.5","17.4","17.4","4.3","0.7","3.6",".",".",".",".",".",".",".","2.2"
"","002
160","11","3.273","18.2","36.4","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","Course Total","149","2.861","11.4","22.1","23.5","16.1","16.8","4.0","0.7","3.4",".",".",".",".",".",".",".","2.0"
"Population Problems","001
170","36","3.700","47.2","41.7","8.3",".",".",".",".",".",".",".",".",".",".","2.8",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","20","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
035","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
090","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"","199
092","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","12","3.766","66.7","8.3","16.7",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Survey of Sociology","001
210","126","3.350","30.2","31.7","25.4","4.0","5.6","0.8","0.8",".",".",".",".",".",".","1.6",".","."
"Gender & Work-Rural America","215
001","20","2.950","10.0","25.0","30.0","25.0","5.0","5.0",".",".",".",".",".",".",".",".",".","."
"","220
001","12","3.417","33.3","50.0","8.3",".",".","8.3",".",".",".",".",".",".",".",".",".","."
"","220
002","17","3.400","17.6","47.1","17.6",".","5.9",".",".","5.9",".",".",".",".",".",".","5.9","."
"Ethnic Movements in U.S.","Course Total","29","3.407","24.1","48.3","13.8",".","3.4","3.4",".","3.4",".",".",".",".",".",".","3.4","."
"Food, Culture, and Society","001
222","12","3.542","66.7","16.7",".","8.3",".","8.3",".",".",".",".",".",".",".",".",".","."
"SE Asia:Vietnam to Philipns","244
001","9","3.444","44.4","11.1","33.3","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"Envir, Nat Rsrce & Communty","248
001","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Latin America-Introduction","260
001","6","2.700","33.3","16.7",".",".","16.7",".","16.7",".",".",".",".",".",".","16.7",".","."
"Africa: Introductory Survey","277
001","37","2.903","10.8","21.6","24.3","29.7","8.1",".","2.7","2.7",".",".",".",".",".",".",".","."
"Honors Tutorial","288
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","357
001","17","3.588","23.5","70.6","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","002
357","27","3.204","25.9","25.9","22.2","14.8","11.1",".",".",".",".",".",".",".",".",".",".","."
"","357
003","35","3.271","31.4","20.0","25.7","17.1","5.7",".",".",".",".",".",".",".",".",".",".","."
"","004
357","38","3.224","28.9","31.6","21.1","13.2",".",".","5.3",".",".",".",".",".",".",".",".","."
"","005
357","33","3.364","27.3","36.4","27.3","6.1",".","3.0",".",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","150","3.303","28.0","33.3","22.0","11.3","3.3","0.7","1.3",".",".",".",".",".",".",".",".","."
"","360
001","34","2.897","23.5","26.5","8.8","17.6","14.7","2.9","5.9",".",".",".",".",".",".",".",".","."
"","360
002","41","3.073","26.8","29.3","17.1","9.8","4.9","12.2",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","75","2.993","25.3","28.0","13.3","13.3","9.3","8.0","2.7",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","15","3.267","26.7","40.0","20.0",".","6.7","6.7",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","30","3.350","36.7","16.7","30.0","13.3","3.3",".",".",".",".",".",".",".",".",".",".","."
"Processes-Deviant Behavior","421
001","98","2.840","13.3","18.4","31.6","11.2","17.3","6.1","1.0",".",".",".",".",".",".",".",".","1.0"
