"NURSING","Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105","001","","96","3.592","43.8","35.4","10.4","4.2","3.1","1.0",".","1.0",".",".",".",".",".",".",".","1.0"
"Clinical Nursing I","219","001","","41","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Hlth Hist&Patient Assessmnt","301","001","","42","3.768","61.9","26.2","9.5",".",".",".",".","2.4",".",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","302","001","","38","3.776","60.5","34.2","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Narrative Anal-Nursing Prac","306","001","","8","3.750","62.5","25.0","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Psychopathology & Nursing","310","001","","16","3.656","50.0","31.3","18.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alterations in Body Systems","312","001","","64","3.056","7.8","26.6","37.5","21.9","4.7",".",".",".",".",".",".",".",".",".",".","1.6"
"Health Assessment","317","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","319","001","","51","3.700","52.9","31.4","13.7",".",".",".",".",".",".",".",".",".",".",".",".","2.0"
"Community Health Nursing","322","001","","34","3.727","64.7","20.6","2.9","8.8",".",".",".",".",".",".",".",".",".",".",".","2.9"
"Fam-cent Perinatl&Ped Nrsng","332","001","","59","3.362","23.7","30.5","37.3","6.8",".",".",".",".",".",".",".",".",".",".",".","1.7"
"Theoretical Foundations","341","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","401","001","","67","3.604","43.3","34.3","22.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","415","001","","45","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419","001","","27","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Concepts-Nurs Practice","422","001","","64","3.625","43.8","43.8","9.4",".","3.1",".",".",".",".",".",".",".",".",".",".","."
"Essentials-Gerontol Nursing","433","001","","32","3.935","87.5","6.3","3.1",".",".",".",".",".",".",".",".",".",".",".",".","3.1"
"","437","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","437","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","444","002","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","444","003","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Community Health Nursing","","Course Total","","7","3.429","42.9","28.6","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".","."
"Team Appr-Emergncy Care","448","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","449","001","","55","3.864","80.0","14.5","3.6","1.8",".",".",".",".",".",".",".",".",".",".",".","."
"","470","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","470","002","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"","490","001","","13","3.833","76.9",".","15.4",".",".",".",".",".",".",".",".",".","7.7",".",".","."
"","490","023","","6","3.529","50.0",".","50.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","","Course Total","","25","3.680","60.0","8.0","20.0",".","4.0",".",".",".",".",".",".",".","8.0",".",".","."
"Capstone Practicum for RN's","519","001","","10","3.946","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","001","","23","3.652","47.8","34.8","17.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","002","","20","3.600","40.0","40.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590","003","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","590","004","","10","3.722","50.0","30.0","10.0",".",".",".",".","10.0",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","","Course Total","","57","3.661","49.1","33.3","15.8",".",".",".",".","1.8",".",".",".",".",".",".",".","."
"Clinical Mgmt-Adv Nurs Prac","612","001","","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","001","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","613","002","","13","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"April 01, 2013","","","","","","","","","","","","","","","","","","","","Page 353 of 374",""
