"ANATOMY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"144
ANATOMY","","","","","","","","","","","","","","","","","","","",""
"328
Human Anatomy","001","","179","3.175","42.5","5.0","26.8","6.1","13.4","3.9","1.1","0.6",".",".",".",".","0.6",".",".","."
"329
Human Anatomy-Kinesiology","001","","72","3.556","59.7","12.5","18.1","1.4","6.9","1.4",".",".",".",".",".",".",".",".",".","."
"575
Biological Processes-Aging","001","","9","2.750",".","11.1","44.4","11.1","22.2",".",".",".",".",".",".",".",".",".",".","11.1"
"699","036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","13","3.615","76.9",".","15.4",".",".","7.7",".",".",".",".",".",".",".",".",".","."
"Independent Study","Course Total","","15","3.677","80.0",".","13.3",".",".","6.7",".",".",".",".",".",".",".",".",".","."
"722
Clinicl Anatomy & Radiology","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Microscopic Anatomy","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","044","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","051","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","12","4.000","58.3",".",".",".",".",".",".","41.7",".",".",".",".",".",".",".","."
