"POPULATION HEALTH SCIENCE Section","","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","","Grades","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","","",""
"People, Chemicals, Envrnmnt","308","001","","6","3.583","33.3","50.0","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Info for Teachers","501","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Economics of Health Care","548","002","","25","3.739","52.0","32.0","8.0",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"Biological Processes-Aging","575","001","","12","3.375","41.7",".","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Clinicl&Pub Hlth Microbiol","603","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","650","005","","15","3.500","33.3","20.0","20.0","6.7",".",".",".",".",".",".",".",".","20.0",".",".","."
"","650","006","","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","007","","14","3.750","64.3","21.4","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","008","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","650","009","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","650","010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","","Course Total","","67","3.820","77.6","9.0","7.5","1.5",".",".",".",".",".",".",".",".","4.5",".",".","."
"","699","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","","Course Total","","4","***","","","","","","","","","","","","","","","",""
"Smr-Contemp Iss:Health Care","719","001","","8","3.867","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Quant Mthds-Health Managers","724","001","","25","3.870","72.0","16.0","4.0",".",".",".",".",".",".",".",".",".","8.0",".",".","."
"Strategy&Meth-Epidemiology","797","001","","25","3.667","56.0","16.0","24.0",".",".",".",".",".",".",".",".",".","4.0",".",".","."
"Epidemiologic Methodology","798","001","","18","3.472","38.9","22.2","33.3","5.6",".",".",".",".",".",".",".",".",".",".",".","."
"Statistics in Epidemiology","800","001","","19","3.528","26.3","47.4","21.1",".",".",".",".",".",".",".",".",".","5.3",".",".","."
"Health Economics","848","001","","6","3.250",".","66.7","16.7","16.7",".",".",".",".",".",".",".",".",".",".",".","."
"Strategic Health Management","872","001","","16","3.750","50.0","50.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","001","","11","3.909","81.8","18.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","875","002","","13","3.682","38.5","38.5","7.7",".",".",".",".",".",".",".",".",".","15.4",".",".","."
"Assess-Medical Technologies","","Course Total","","24","3.795","58.3","29.2","4.2",".",".",".",".",".",".",".",".",".","8.3",".",".","."
"Epidemiol Elect-Div of Hlth","911","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"CompUtiliz-ClinLab-StateLab","912","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Chem-Newborn-StateLab","913","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Fundmtls Interntl Hlth-MSC","915","001","","18","3.703","72.2",".","27.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","024","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","","Course Total","","8","4.000","62.5",".",".",".",".",".",".","37.5",".",".",".",".",".",".",".","."
