"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"719","053","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"719","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","056","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"719","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"719","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Indep Field Stdy-Clinic Nsg","Course Total","","23","4.000","73.9",".",".",".",".",".",".","26.1",".",".",".",".",".",".",".","."
"721
Adv Med-Surgical Nursing","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"735
Hlth-Women Across Lifespan","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"746
Intrdis Care-Chron Ill Chld","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"747","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","055","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"747","074","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Practicum-A Functional Area","Course Total","","8","4.000","75.0",".",".",".",".",".",".","25.0",".",".",".",".",".",".",".","."
"748
Leadershp-Roles,Ethics,Care","001","","18","3.917","88.9","5.6","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"761
Care-Populatn Grps-Com Hlth","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"762
Leadershp-Comm Hlth Nursing","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"798","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","018","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"798","027","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"798","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","056","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"798","065","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"798","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Master's Research Practicum","Course Total","","20","4.000","80.0",".",".",".",".",".",".","20.0",".",".",".",".",".",".",".","."
"799","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","039","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","50.0",".",".",".",".",".",".","50.0",".",".",".",".",".",".",".","."
"801
Grounded Theory Methodology","001","","9","3.722","77.8",".","11.1","11.1",".",".",".",".",".",".",".",".",".",".",".","."
"990","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","040","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","053","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","062","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","087","","1","***","","","","","","","","","",".",".",".",".",".",".","."
