"Individualized 4th Yr Clerk","919
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Clrkshp:Rurl Hlth-Statewide","927
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Cl Mgmt-Addictv Disordr-Mad","931
001","","2","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"Sports Medicine","933
001","","1","***","","","","","","","","","","","","","","",".",".","",".","",".","",".",".","."
"FAM MED
370","Dept. Total","","17","3.800","17.6","11.8","",".",".","",".","",".","",".","70.6","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","","BC","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Prof Yr 1","","","12","3.750","8.3","8.3","",".",".","",".","",".","",".","83.3","",".",".","",".","",".","",".",".",".","."
"Prof Yr 2","","","2","",".",".","",".",".","",".","",".","",".","100.0","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","","1","4.000","100.0",".","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","","2","3.750","50.0","50.0","",".",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Professionals","","","17","3.800","17.6","11.8","",".",".","",".","",".","",".","70.6","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","","17","3.800","17.6","11.8","",".",".","",".","",".","",".","70.6","",".",".","",".","",".","",".",".",".","."
