"PHM","","","","","","","","","","","","","","","","","","","",""
"SOCIAL & ADMINISTRATIVE PHA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","","",""
"105
Health Care: Intrdis Appr","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"401
History of Pharmacy","001","","28","3.643","53.6","25.0","17.9","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"414
Pharmacists/Health Care Sys","001","","105","3.324","23.8","32.4","29.5","13.3","1.0",".",".",".",".",".",".",".",".",".",".","."
"511
Pharmacy Law and Regulation","001","","106","3.165","11.3","34.9","34.0","15.1","4.7",".",".",".",".",".",".",".",".",".",".","."
"562
Byzantine Med & Pharmacy","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"622
Prosem:Social & Behav Phcy","002","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","021","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
"712
Problems in Drug Marketing","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"716
Adv Hospital Phm Admin","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"912","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"912","002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","Course Total","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","012","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","12","4.000","25.0",".",".",".",".",".",".","75.0",".",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","3","***","","","","","","","","","","","","","","","",""
