"URBAN AND REGIONAL PLANNI","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"944
URB R PL","","","","","","","","","","","","","","","","","","","",""
"305
Introduction to the City","001","","25","2.854","12.0","32.0","20.0","4.0","20.0","4.0","4.0","4.0",".",".",".",".",".",".",".","."
"306
The Real Estate Process","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"420
Urban & Regional Economics","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"463
Evolution-American Planning","001","","14","3.214","28.6","7.1","42.9","21.4",".",".",".",".",".",".",".",".",".",".",".","."
"506
Hist Geog-European Urbanztn","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"520
Community Economic Analysis","001","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"590","001","","27","3.604","37.0","40.7","14.8",".",".",".",".","7.4",".",".",".",".",".",".",".","."
"590","002","","15","4.000","46.7",".",".",".",".",".",".","53.3",".",".",".",".",".",".",".","."
"590","003","","13","4.000","53.8",".",".",".",".",".",".","46.2",".",".",".",".",".",".",".","."
"Contemp Topics-Urb & Reg Pl","Course Total","","55","3.700","43.6","20.0","7.3",".",".",".",".","29.1",".",".",".",".",".",".",".","."
"641
Housing Economics & Policy","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"671
Energy Economics","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"718
Water Res Mgt Pract Pl Smr","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"731
Intro to Regional Planning","001","","22","3.591","45.5","27.3","27.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"751
Intro to Financial Planning","001","","22","3.705","40.9","59.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"781
Planning Thought & Practice","001","","19","3.605","36.8","47.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"844
Housing and Public Policy","001","","12","3.727","50.0","33.3","8.3",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"890
Fed Budget&Tax Policy&Admin","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"912
Planning Workshop","001","","9","3.944","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"932
Smr-Rsch Review & Criticism","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"969","002","","7","3.833","57.1","28.6",".",".",".",".",".","14.3",".",".",".",".",".",".",".","."
"969","003","","12","3.583","41.7","33.3","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr:Trends&Iss-Public Plan","Course Total","","19","3.667","47.4","31.6","15.8",".",".",".",".","5.3",".",".",".",".",".",".",".","."
"990","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research and Thesis","Course Total","","7","",".",".",".",".",".",".",".","57.1",".",".",".","42.9",".",".",".","."
"999","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"999","015","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Work","Course Total","","5","***","","","","","","","","","","","","","","","",""
