"NURSING","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","","",""
"613","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"613","023","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"613","030","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"613","050","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"613","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac I","Course Total","","40","3.936","95.0","2.5","2.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"614","040","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"614","041","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac II","Course Total","","9","3.958","88.9","11.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"615","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"615","021","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"615","050","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac III","Course Total","","10","3.944","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"616","010","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"616","020","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"616","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Precptrshp-Nurse Prac IV","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"682","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"682","080","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"682","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","Course Total","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"698","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","065","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"698","081","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"698","090","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","10","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","094","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study in Nursing","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"700
Nursing Research I","001","","12","3.792","58.3","41.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"701
Interpretv Rsch-Health Care","001","","21","3.833","76.2","19.0",".","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"702
Hlth Promo&Disease Prevention","001","","8","4.000","87.5",".",".",".",".",".",".",".",".",".",".",".","12.5",".",".","."
"703
Hlth Care & Public Policy-US","001","","21","3.595","47.6","33.3","14.3",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"704
Leadershp-Roles,Ethics,Care","001","","17","3.882","76.5","23.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"715","010","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
