"CLINICAL LABORATORY SCIENC Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"628
CLNLABSC","","","","","","","","","","","","","","","","","","",""
"Intro-Cl Lab Sci Procedures","310
001","21","3.214","14.3","23.8","57.1",".","4.8",".",".",".",".",".",".",".",".",".",".","."
"Prin of Clin Lab Instr I","404
001","23","3.739","60.9","26.1","13.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Laboratory Procedures","510
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Hemostasis and Coagulation","514
001","22","3.295","22.7","31.8","36.4",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"Clinical Hematology II","516
001","21","3.238","9.5","42.9","38.1","4.8","4.8",".",".",".",".",".",".",".",".",".",".","."
"Select&Eval-Meas & Contrl Proc","520
001","20","3.775","55.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clinical Chemistry II","526
001","20","3.350","15.0","40.0","45.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Diagosis-Infec Disease II","536
001","22","3.136","9.1","22.7","59.1","4.5","4.5",".",".",".",".",".",".",".",".",".",".","."
"The Breast","544
001","11","3.409","36.4","36.4","9.1","9.1","9.1",".",".",".",".",".",".",".",".",".",".","."
"The Genitourinary System","545
001","11","3.364","27.3","36.4","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"The Gastrointestinal System","546
001","11","3.455","36.4","27.3","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".","."
"Effusions","547
001","11","3.409","36.4","27.3","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","."
"The Central Nervous System","548
001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Miscellaneous Systems","549
001","11","3.591","36.4","45.5","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"","570
001","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","570
002","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Molecular Diagnostics","Course Total","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Applied Cytology I","573
001","11","3.364","27.3","36.4","27.3",".","9.1",".",".",".",".",".",".",".",".",".",".","."
"","575
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
002","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","575
003","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
004","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","575
007","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clinical Lab Science Practicum","Course Total","18","3.961","94.4","5.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Lab Operatns & Qual Contrl","625
001","11","2.545","9.1","9.1","9.1","27.3","45.5",".",".",".",".",".",".",".",".",".",".","."
"Current Issues Seminar","640
001","20","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"CLNLABSC
628","Dept. Total","306","3.505","45.8","24.8","22.2","2.9","4.2",".",".",".",".",".",".",".",".",".",".","."
