"EDU","","","","","","","","","","","","","","","","","","","",""
"THERAPEUTIC SCI (DEPT-KINES Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"939
THER SCI","","","","","","","","","","","","","","","","","","","",""
"Orientation to Occ Ther","100
001","","29","3.966","93.1","6.9",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Care: Intrdis Appr","105
001","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
032","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
036","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","2","***","","","","","","","","","","","","","","","",""
"Special Topics","775
001","","11","3.773","63.6","27.3","9.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","799
024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"THER SCI
939","Dept. Total","","55","3.949","87.3","9.1","1.8",".",".",".",".","1.8",".",".",".",".",".",".",".","."
