"SOCIAL & ADMINISTRATIVE PHA Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"732
S&A PHM","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","13","3.923","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"History of Pharmacy","401
001","19","3.789","78.9","5.3","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy in Health Care System","414
001","139","3.144","23.7",".","66.9",".","9.4",".",".",".",".",".",".",".",".",".",".","."
"Pharmacy Law and Regulation","511
001","134","3.026","7.5","19.4","47.8","21.6","3.7",".",".",".",".",".",".",".",".",".",".","."
"Byzantine Med & Pharmacy","562
001","6","3.833","83.3",".","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Pharmacist Services Management","631
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Pharm Communicatn:Edu&Behav","652
001","132","3.830","68.9","28.0","3.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
081","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
112","6","3.906","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","8","3.917","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Soc Behav Theories in Pharm","715
001","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Adv Hospital Phm Admin","716
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Conference-Research Workers","912
001","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990
012","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
021","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
022","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"S&A PHM
732","Dept. Total","483","3.377","40.2","13.9","34.2","6.2","3.7",".",".","1.9",".",".",".",".",".",".",".","."
