"FAMILY MEDICINE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"370
FAM MED","","","","","","","","","","","","","","","","","","","",""
"","699
001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
058","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
063","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","","6","4.000","83.3",".",".",".",".",".",".",".",".",".",".",".",".",".","16.7","."
"Hlth Care-Diverse Communities","712
001","","18","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Rsch in Fam Med-Wingra FMC","910
017","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","927
004","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","927
016","","8","3.875","87.5",".","12.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Clrkshp:Rural & Community Hlth","Course Total","","16","3.958","93.8",".","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
