"MED","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIATRICS","Section","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PEDIAT
708","Dept. Total","117","3.587","41.9","44.4","12.0","0.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".","0.9","."
"Summary by Level","","#","Ave","A","AB","B","BC","C","","D","","F","","S","","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","6","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Senior","","8","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","14","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Graduate","","3","4.000","100.0",".",".",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","77","3.500","20.8","61.0","16.9","1.3","",".","",".","",".","",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","23","3.804","69.6","21.7","4.3",".","",".","",".","",".","",".","",".",".","",".","",".","",".",".","4.3","."
"Professionals","","100","3.551","32.0","52.0","14.0","1.0","",".","",".","",".","",".","",".",".","",".","",".","",".",".","1.0","."
"","Dept. Total","117","3.587","41.9","44.4","12.0","0.9","",".","",".","",".","",".","",".",".","",".","",".","",".",".","0.9","."
