"TERM : 1104","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2009-2010","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHARMACOLOGY","Section","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"PHMCOL-M
724","Dept. Total","134","3.916","64.2","3.0","3.0","",".","",".","",".","",".","20.1","",".",".","",".","6.0","3.7",".",".","."
"Summary by Level","","#","Ave","A","AB","B","BC","","C","","D","","F","","S","U","","CR","N","","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","",""
"724
PHMCOL-M","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","3","4.000","100.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Senior","","5","4.000","80.0",".",".","",".","",".","",".","",".",".","",".",".","",".",".","20.0",".",".","."
"Undergraduates","","8","4.000","87.5",".",".","",".","",".","",".","",".",".","",".",".","",".",".","12.5",".",".","."
"Graduate","","105","3.896","61.0","3.8","2.9","",".","",".","",".","",".","21.0","",".",".","",".","7.6","3.8",".",".","."
"Prof Yr 1","","9","3.909","88.9",".","11.1","",".","",".","",".","",".",".","",".",".","",".",".",".",".",".","."
"Prof Yr 3","","5","4.000","60.0",".",".","",".","",".","",".","",".","40.0","",".",".","",".",".",".",".",".","."
"Prof Yr 4","","7","4.000","57.1",".",".","",".","",".","",".","",".","42.9","",".",".","",".",".",".",".",".","."
"Professionals","","21","3.944","71.4",".","4.8","",".","",".","",".","",".","23.8","",".",".","",".",".",".",".",".","."
"","Dept. Total","134","3.916","64.2","3.0","3.0","",".","",".","",".","",".","20.1","",".",".","",".","6.0","3.7",".",".","."
