"SOCIOLOGY","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"900
SOC","","","","","","","","","","","","","","","","","","",""
"","120
001","334","3.442","26.0","41.6","24.3","6.6",".",".",".","0.9",".",".",".",".","0.6",".",".","."
"","120
002","14","3.679","57.1","21.4","21.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"Marriage and Family","Course Total","348","3.450","27.3","40.8","24.1","6.3",".",".",".","0.9",".",".",".",".","0.6",".",".","."
"Contemporary Amer Society","125
001","39","3.111","23.1","20.5","17.9","15.4","15.4",".",".","5.1","2.6",".",".",".",".",".",".","."
"Criminal Justice in America","131
002","125","3.222","28.0","24.8","26.4","11.2","5.6","2.4","0.8",".",".",".",".",".","0.8",".",".","."
"","134
001","387","3.221","14.2","38.2","30.0","12.9","3.6","0.3","0.3","0.3",".",".",".",".",".",".",".","0.3"
"","134
055","83","3.790","65.1","25.3","6.0","1.2",".",".",".","2.4",".",".",".",".",".",".",".","."
"","134
066","100","3.742","66.0","20.0","5.0","4.0","2.0",".",".","3.0",".",".",".",".",".",".",".","."
"","134
077","92","3.506","28.3","48.9","10.9","2.2","2.2","1.1",".","5.4",".",".",".",".",".","1.1",".","."
"Am Racial&Ethnic Minorities","Course Total","662","3.377","30.4","35.3","20.5","8.6","2.7","0.3","0.2","1.7",".",".",".",".",".","0.2",".","0.2"
"The Sociology of Gender","138
001","72","3.688","59.7","23.6","12.5","2.8","1.4",".",".",".",".",".",".",".",".",".",".","."
"Intro-Community & Envir Soc","140
001","25","3.140","24.0","28.0","24.0","16.0","4.0",".","4.0",".",".",".",".",".",".",".",".","."
"Hum Sexuality-Soc,Psych Iss","160
001","166","3.239","28.3","24.7","21.7","9.0","10.8","1.2",".","4.2",".",".",".",".",".",".",".","."
"Population Problems","170
001","21","3.667","52.4","33.3","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"Hnrs Smr:Sociolgl Enterprse","181
001","22","3.886","81.8","13.6","4.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","198
016","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
016","52","4.000","98.1",".",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"","199
039","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
050","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","199
066","13","3.944","92.3",".","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Directed Study","Course Total","67","3.994","97.0",".","1.5",".",".",".",".",".",".",".",".",".","1.5",".",".","."
"Intro Les, Gay, Bi, Trnsgen St","200
001","79","3.266","34.2","30.4","15.2","8.9","2.5","2.5","3.8","2.5",".",".",".",".",".",".",".","."
"Survey of Sociology","210
001","98","3.284","28.6","25.5","26.5","10.2","8.2",".",".",".",".",".",".",".","1.0",".",".","."
"The Sociological Enterprise","211
001","64","3.426","31.3","34.4","20.3","3.1","6.3",".",".",".",".",".",".",".","4.7",".",".","."
"Ethnic Movements in U.S.","220
001","51","3.350","29.4","39.2","15.7","5.9","3.9","3.9",".",".",".",".",".",".",".",".","2.0","."
"Technology and Society","245
001","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Africa: Introductory Survey","277
001","24","2.979","16.7","16.7","33.3","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".","."
"","357
001","20","3.300","25.0","30.0","35.0",".","10.0",".",".",".",".",".",".",".",".",".",".","."
"","357
002","21","3.476","47.6","28.6","19.0",".",".",".","4.8",".",".",".",".",".",".",".",".","."
"","357
003","18","2.944","5.6","16.7","50.0","16.7","11.1",".",".",".",".",".",".",".",".",".",".","."
"","357
004","15","2.733","13.3","13.3","20.0","26.7","20.0","6.7",".",".",".",".",".",".",".",".",".","."
"","357
005","13","3.385","46.2","30.8","15.4",".",".",".","7.7",".",".",".",".",".",".",".",".","."
"","006
357","21","2.786","23.8","23.8","14.3","9.5","14.3","4.8","9.5",".",".",".",".",".",".",".",".","."
"","357
007","18","3.139","33.3","11.1","27.8","16.7","5.6","5.6",".",".",".",".",".",".",".",".",".","."
"","357
008","18","2.833","16.7","16.7","27.8","16.7","16.7",".","5.6",".",".",".",".",".",".",".",".","."
"","357
010","21","3.190","19.0","42.9","19.0","14.3",".",".","4.8",".",".",".",".",".",".",".",".","."
"Meth-Sociological Inquiry","Course Total","165","3.091","25.5","24.2","25.5","10.9","8.5","1.8","3.6",".",".",".",".",".",".",".",".","."
"","360
001","30","3.050","33.3","16.7","20.0","13.3","3.3","13.3",".",".",".",".",".",".",".",".",".","."
"","002
360","29","3.069","20.7","27.6","27.6","6.9","10.3","6.9",".",".",".",".",".",".",".",".",".","."
"","360
003","30","2.650","16.7","23.3","20.0","13.3","6.7","10.0","10.0",".",".",".",".",".",".",".",".","."
"Stats for Sociologists I","Course Total","89","2.921","23.6","22.5","22.5","11.2","6.7","10.1","3.4",".",".",".",".",".",".",".",".","."
"Stats for Sociologists II","361
001","26","3.404","34.6","23.1","30.8","11.5",".",".",".",".",".",".",".",".",".",".",".","."
"Stats for Sociologists III","362
001","20","3.211","20.0","40.0","20.0",".","10.0","5.0",".","5.0",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 304 of 413",""
