"HUMAN DEVEL & FAMILY STUDI Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"230
HDFS","","","","","","","","","","","","","","","","","","","",""
"Development of Young Child","362
001","","171","3.287","41.5","19.3","18.1","7.6","4.7","4.7","1.8","2.3",".",".",".",".",".",".",".","."
"Develp: Adolescence-Old Age","363
001","","199","3.337","33.2","23.1","24.1","15.1","2.0","1.0",".","0.5",".",".",".",".","0.5","0.5",".","."
"Rsch Meth in Hum Devel&Fam St","425
001","","25","3.800","72.0","24.0",".",".","4.0",".",".",".",".",".",".",".",".",".",".","."
"Play-Devlpmt & Role-Lifespan","464
001","","30","3.783","66.7","30.0",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Parent-Child Relations","471
001","","26","3.673","42.3","50.0","7.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Racial Ethnic Families in U.S.","474
001","","30","3.633","60.0","20.0","13.3",".","6.7",".",".",".",".",".",".",".",".",".",".","."
"","501
001","","20","3.825","75.0","15.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","501
008","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
011","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
033","","6","3.893","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","501
035","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Special Topics","Course Total","","54","3.878","85.2","11.1","3.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","516
001","","28","3.714","89.3",".","3.6",".",".","3.6","3.6",".",".",".",".",".",".",".",".","."
"","516
002","","24","3.542","58.3","8.3","20.8","8.3","4.2",".",".",".",".",".",".",".",".",".",".","."
"Family Stress and Coping","Course Total","","52","3.635","75.0","3.8","11.5","3.8","1.9","1.9","1.9",".",".",".",".",".",".",".",".","."
"Couple Relationships","517
001","","26","3.885","76.9","23.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"African American Families","521
001","","13","3.583","53.8","15.4","7.7","15.4",".",".",".",".",".",".",".",".","7.7",".",".","."
"Family Perspctv-Policymakng","535
001","","38","3.342","15.8","42.1","36.8","5.3",".",".",".",".",".",".",".",".",".",".",".","."
"","601
002","","23","3.871","87.0","8.7",".",".","4.3",".",".",".",".",".",".",".",".",".",".","."
"","601
011","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","601
035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Internship","Course Total","","29","3.898","89.7","6.9",".",".","3.4",".",".",".",".",".",".",".",".",".",".","."
"Developmental & Fam Assessment","663
001","","17","3.765","58.8","35.3","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
011","","6","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699
016","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","13","3.963","92.3","7.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theory & Issues-Human Dev","725
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Childhood and the Family","761
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Aging and the Family","763
001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","766
001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","766
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","766
003","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Current Iss-Family Living","Course Total","","27","3.885","81.5","18.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Smr in Prevention Sci","881
001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
005","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990
007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
