"ANESTHESIOLOGY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","",""
"","699
102","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
103","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
104","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","5","***","","","","","","","","","","","","","","","",""
"","812
001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
002","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
003","","10","3.850","70.0","30.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
004","","10","3.950","90.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
005","","9","3.778","55.6","44.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
006","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
007","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
008","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
009","","9","3.833","66.7","33.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","812
010","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","812
013","","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Anesthesia","Course Total","","89","3.882","76.4","23.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Rsch-Anesthesiology-CSC","910
041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
008","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","919
017","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","9","3.875","33.3","11.1",".",".",".",".",".","55.6",".",".",".",".",".",".",".","."
"","920
004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
007","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","920
043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Anesthes Clerkship-CSC","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
014","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
015","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
016","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","930
017","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Cardiac Life Supprt (ACLS)","Course Total","","42","3.976","95.2","4.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
