"COMMUNICATIVE DISORDERS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"790","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","042","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"790","045","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Com Disorders","Course Total","","52","3.965","90.4","7.7",".",".",".",".",".",".",".",".",".",".","1.9",".",".","."
"799","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","022","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","024","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"799","025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"799","026","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","035","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"799","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"832
Pediatric Audiology","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"836
Pediat Habilitatn/Rehabilitatn","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"837
Auditory & Vestibular Path I","001","","9","3.722","66.7","11.1","22.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"851
Hearing Sci II: Adv Topics","001","","7","3.714","71.4","14.3",".","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"856
Amplification Systems I","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"857
Lab in Amplification Systems I","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"858
Physiolog Assess Audiology I","001","","7","3.571","42.9","28.6","28.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"859
Lab-Physiol Assess Aud Sys I","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"864
Auditory Processing Disorders","001","","16","3.844","75.0","18.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"866
Amplification Systems II","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Clerkship in Audiology I","001","","7","3.929","85.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"892
Clerkship in Audiology II","001","","9","3.889","77.8","22.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"893
Clerkship in Audiology III","001","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"894
Externship in Audiology","001","","10","4.000","90.0",".",".",".",".",".",".",".",".",".",".",".","10.0",".",".","."
"899","013","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"899","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","018","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"899","023","","6","4.000","50.0",".",".",".",".",".",".",".",".",".",".","50.0",".",".",".","."
"899","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"899","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Capstone Study in Audiology","Course Total","","16","4.000","81.3",".",".",".",".",".",".",".",".",".",".","18.8",".",".",".","."
"900","002","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"900","003","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Seminar-Speech Science","Course Total","","25","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"913
Smr-Prob in Voice Disorders","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"921
Smr-Prob in Audiology","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","004","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 186 of 413",""
