"PEDIATRICS","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"708
PEDIAT","","","","","","","","","","","","","","","","","","","",""
"699","073","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","076","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","078","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","294","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","295","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","296","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","061","","21","3.500","19.0","66.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".","."
"812","062","","17","3.412","17.6","47.1","35.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","063","","21","3.524","19.0","66.7","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","064","","19","3.500","15.8","68.4","15.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"3rd Year Pediatrics","Course Total","","78","3.487","17.9","62.8","17.9","1.3",".",".",".",".",".",".",".",".",".",".",".","."
"910
Indep Rdg & Rsch-4th Yr Med","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","012","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"919","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Individualized 4th Yr Clerk","Course Total","","4","***","","","","","","","","","","","","","","","",""
"920","042","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Subinternship-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"930","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"930","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Peds Sub-Intrn Newborn-Milw","Course Total","","3","***","","","","","","","","","","","","","","","",""
"940
Adolescent Med Clerk-CSC","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"950
Ped Endocr/DiabetesClrk-CSC","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"953","044","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Clin Genetics Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
"966","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"966","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Pediatric Sports Med-CSC","Course Total","","5","***","","","","","","","","","","","","","","","",""
"967
Pediatric Pulmonary Clrk-CSC","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","070","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Research","Course Total","","3","***","","","","","","","","","","","","","","","",""
