"POPULATION HEALTH SCIENCE Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"810
POP HLTH","","","","","","","","","","","","","","","","","","","",""
"375
Introduction to Public Health","001","","74","3.986","97.3","2.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"471
Intro-Environmental Health","001","","40","3.625","45.0","35.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"548
Economics of Health Care","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"553
Internl Hlth & Global Society","001","","14","3.500","28.6","50.0","14.3","7.1",".",".",".",".",".",".",".",".",".",".",".","."
"603
Clinicl&Pub Hlth Microbiol","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Foundations-Global Hlth Pract","001","","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"645","000A","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"645","004","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Global Health Field Course","Course Total","","9","4.000","88.9",".",".",".",".",".",".","11.1",".",".",".",".",".",".",".","."
"650","029","","7","3.857","71.4","28.6",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","030","","30","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"650","033","","41","3.573","39.0","39.0","19.5","2.4",".",".",".",".",".",".",".",".",".",".",".","."
"650","040","","18","4.000","94.4",".",".",".",".",".",".","5.6",".",".",".",".",".",".",".","."
"650","046","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics","Course Total","","101","3.756","67.3","22.8","7.9","1.0",".",".",".","1.0",".",".",".",".",".",".",".","."
"699","010","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","011","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","019","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","034","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","037","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","038","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","","21","4.000","95.2",".",".",".",".",".",".","4.8",".",".",".",".",".",".",".","."
"740
Hlth Impact of Global Envr Chg","001","","30","3.867","73.3","26.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"785
Health Sys, Mngmnt, & Policy","001","","42","3.600","35.7","42.9","16.7",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"787
MPH Field Experience Seminar","002","","22","3.568","81.8","4.5","4.5",".",".",".","9.1",".",".",".",".",".",".",".",".","."
"788
Public Health Field Experience","001","","14","4.000","78.6",".",".",".",".",".",".",".",".",".",".",".","21.4",".",".","."
"791
Physical Activity Epidemiology","020","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"796
Intro-Health Services Research","001","","23","3.739","47.8","52.2",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"798
Epidemiologic Methods","001","","30","3.283","36.7","20.0","23.3","10.0","6.7","3.3",".",".",".",".",".",".",".",".",".","."
"800
Quant Meth-Population Health I","001","","22","3.705","59.1","22.7","18.2",".",".",".",".",".",".",".",".",".",".",".",".","."
"801
Epidemiology-Infect Disease","001","","23","3.913","82.6","17.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"820
Graduate Research Seminar","001","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"875
Assess-Medical Technologies","001","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"876
Measuring Health Outcomes","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"911","042","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"911","043","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Epidemiol Elect-Div of Hlth","Course Total","","2","***","","","","","","","","","","","","","","","",""
"913
Clin Chem-Newborn-StateLab","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 377 of 413",""
