"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","166","2.948","18.7","16.3","31.3","12.0","16.3","4.8",".","0.6",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","615","001","41","3.683","46.3","43.9","9.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","615","002","39","3.679","53.8","35.9","5.1","2.6","2.6",".",".",".",".",".",".",".",".",".",".","."
"Liability Risk Management","","Course Total","80","3.681","50.0","40.0","7.5","1.3","1.3",".",".",".",".",".",".",".",".",".",".","."
"Employee Benefits Managemnt","620","001","115","3.292","27.0","23.5","32.2","13.0","1.7","0.9",".","1.7",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","33","3.719","54.5","30.3","12.1",".",".",".",".","3.0",".",".",".",".",".",".",".","."
"Risk Management","710","030","65","3.515","30.8","41.5","27.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Smr-Risk Managemnt&Insuranc","875","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","039","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","079","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","5","***","","","","","","","","","","","","","","","",""
