"PHARMACEUTICAL SCIENCES","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"718
PHM SCI","","","","","","","","","","","","","","","","","","","",""
"310
Drugs and Their Actions","001","","140","3.650","63.6","16.4","13.6","2.1","2.9","1.4",".",".",".",".",".",".",".",".",".","."
"421
Intro-Drug Actn&Delivery II","001","","134","2.929","9.0","24.6","26.1","26.9","11.9","1.5",".",".",".",".",".",".",".",".",".","."
"430
Biol Interactions w/ Materials","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"490
Selected Topics-Pharm Sci","001","","68","3.926","91.2","2.9","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"522
Pharmacology II","001","","137","3.361","32.8","20.4","36.5","6.6","3.6",".",".",".",".",".",".",".",".",".",".","."
"532
Medicinal Chemistry II","001","","128","3.445","32.8","28.9","32.8","5.5",".",".",".",".",".",".",".",".",".",".",".","."
"542
Drug Delivery System Lab II","001","","131","3.569","48.9","22.1","24.4","3.1","1.5",".",".",".",".",".",".",".",".",".",".","."
"626
Toxicology II","001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"640
Substnc Abuse&Chem Dependnc","001","","56","3.843","71.4","21.4","1.8","1.8",".",".",".","3.6",".",".",".",".",".",".",".","."
"679
Pharmacol & Toxicol Sr Seminar","001","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","011","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","014","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","016","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","026","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","059","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","082","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","084","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","086","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","25","3.983","96.0","4.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"766
Molecular Recognition","001","","13","3.859","69.2","30.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"773
Molecular Solids","001","","9","3.611","55.6","11.1","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"786
Natrl Prod Synth&Drug Discovry","001","","9","3.389","22.2","33.3","44.4",".",".",".",".",".",".",".",".",".",".",".",".","."
"891
Chem-Biology Interface II","001","","11","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"932
Pharmaceutical Sci Seminar","001","","47","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"990","011","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","014","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","015","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","016","","9","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"990","017","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","021","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","048","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","059","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","061","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","063","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","076","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"990","077","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","082","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 397 of 413",""
