"PATHOLOGY AND LABORATOR","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"704
PATH","","","","","","","","","","","","","","","","","","","",""
"399","049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","067","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","068","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"399","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","4","***","","","","","","","","","","","","","","","",""
"404
Pathophys Princ-Hum Disease","001","","349","3.366","31.2","33.5","20.1","10.3","3.2","1.1","0.3",".",".",".",".",".",".",".",".","0.3"
"655
Quality Control Basics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"656
Quality Control Projects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"657
Quality Planning Basics","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"658
Quality Planning Projects","001","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","030","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","049","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","073","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"709
Topics-Cell Struct & Functn","001","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"750
Cellulr & Moleclr Biol/Path","001","","41","3.366","31.7","22.0","39.0","2.4","4.9",".",".",".",".",".",".",".",".",".",".","."
"809
Moleculr Mechanisms of Disease","001","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"901
Student Seminar / Journal Club","001","","29","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"920","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","004","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"920","005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","007","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","009","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","015","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"920","016","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"920","041","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"General Pathology Clerk-CSC","Course Total","","15","4.000","93.3",".",".",".",".",".",".",".",".",".",".",".",".",".","6.7","."
"990","028","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","029","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","045","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","046","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","047","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","049","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"990","052","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","060","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","064","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","069","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"990","072","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"990","073","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"990","074","","1","***","","","","","","","","","",".",".",".",".",".",".","."
