"NUR","","","","","","","","","","","","","","","","","","","",""
"COLLABORATIVE NURSING PRG Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"691
CNP","","","","","","","","","","","","","","","","","","","",""
"Narrative Anal-Nursing Prac","306
001","","7","3.786","71.4","14.3","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Health Assessment","317
003","","10","3.750","60.0","30.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"Theoretical Foundations","341
003","","8","3.063","50.0","12.5",".","25.0",".",".","12.5",".",".",".",".",".",".",".",".","."
"Nursing Research","434
003","","13","3.808","76.9","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".",".","."
"Mgmt & Leadershp in Nursing","437
003","","11","3.850","63.6","27.3",".",".",".",".",".",".",".",".",".",".","9.1",".",".","."
"Community Health Nursing","444
003","","8","3.375","37.5","25.0","12.5","25.0",".",".",".",".",".",".",".",".",".",".",".","."
"","490
022","","9","3.778","66.7","22.2","11.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
026","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","490
029","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Special Topics in Nursing","Course Total","","14","3.808","71.4","21.4","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone Practicum for RN's","519
001","","17","3.797","76.5","17.6",".","5.9",".",".",".",".",".",".",".",".",".",".",".","."
"CNP
691","Dept. Total","","88","3.689","65.9","20.5","4.5","6.8",".",".","1.1",".",".",".",".",".","1.1",".",".","."
