"NURSING","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"692
NURSING","","","","","","","","","","","","","","","","","","",""
"Health Care: Intrdis Appr","105
001","149","3.966","96.0","2.7","0.7",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"","299
010","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","299
104","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Reading","Course Total","2","***","","","","","","","","","","","","","","","",""
"","302
001","112","3.973","97.3","0.9","0.9","0.9",".",".",".",".",".",".",".",".",".",".",".","."
"","302
002","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
003","22","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","302
004","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro-Systematic Investigtn","Course Total","144","3.979","97.9","0.7","0.7","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"","310
001","67","3.724","52.2","40.3","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"","310
002","23","3.957","91.3","8.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mntl Hlth&Illness:Implcatn/Nur","Course Total","90","3.783","62.2","32.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","312
001","131","3.737","58.8","32.8","6.1","1.5","0.8",".",".",".",".",".",".",".",".",".",".","."
"","312
002","24","3.271","4.2","54.2","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Hum Response-Hlth & Illness II","Course Total","155","3.665","50.3","36.1","10.3","2.6","0.6",".",".",".",".",".",".",".",".",".",".","."
"","319
001","131","",".",".",".",".",".",".",".",".",".","99.2","0.8",".",".",".",".","."
"","319
002","24","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Nurs Care-Inpatient Setting","Course Total","155","",".",".",".",".",".",".",".",".",".","99.4","0.6",".",".",".",".","."
"","332
001","131","3.847","71.0","28.2",".","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","002
332","24","3.646","37.5","54.2","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Fam-cent Perinatl&Ped Nrsng","Course Total","155","3.816","65.8","32.3","1.3","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","401
001","131","3.855","77.1","17.6","4.6","0.8",".",".",".",".",".",".",".",".",".",".",".","."
"","401
002","23","3.913","87.0","8.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Legal&Social Forces-Nursing","Course Total","154","3.864","78.6","16.2","4.5","0.6",".",".",".",".",".",".",".",".",".",".",".","."
"","001
415","130","3.927","91.5","4.6","2.3","0.8","0.8",".",".",".",".",".",".",".",".",".",".","."
"","002
415","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Org Influence-Interdis Prac","Course Total","153","3.931","92.2","3.9","2.6","0.7","0.7",".",".",".",".",".",".",".",".",".",".","."
"Clin III-Com Hlth Nurs Prac","419
001","63","3.937","87.3","12.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","449
001","68","3.831","76.5","14.7","7.4","1.5",".",".",".",".",".",".",".",".",".",".",".","."
"","449
002","22","3.909","90.9","4.5",".","4.5",".",".",".",".",".",".",".",".",".",".",".","."
"Persons&Family/Complx Needs","Course Total","90","3.850","80.0","12.2","5.6","2.2",".",".",".",".",".",".",".",".",".",".",".","."
"","470
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","470
002","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Primary Health Care-School","Course Total","4","***","","","","","","","","","","","","","","","",""
"","590
002","9","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","590
021","20","3.375","30.0","25.0","35.0","10.0",".",".",".",".",".",".",".",".",".",".",".","."
"","590
100","24","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Contemp Practices-Nursing","Course Total","53","3.679","73.6","9.4","13.2","3.8",".",".",".",".",".",".",".",".",".",".",".","."
"Advanced Assessment","601
001","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Practicum for CNS","606
001","17","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"","613
010","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
011","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
020","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","613
021","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","Page 392 of 413",""
