"MED","","","","","","","","","","","","","","","","","","","",""
"PHYSICIAN ASSISTANT PROGRA Section","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","",""
"Clinical Med-Phy Asst II","401
001","","40","3.363","15.0","55.0","20.0","7.5","2.5",".",".",".",".",".",".",".",".",".",".","."
"","416
001","","28","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","416
002","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Iss Pro Pract for Phy Assts","Course Total","","34","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adv Patnt Eval/Prim Care II","421
001","","24","3.667","41.7","50.0","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
001","","28","3.768","60.7","32.1","7.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","440
002","","12","3.667","50.0","41.7",".","8.3",".",".",".",".",".",".",".",".",".",".",".","."
"Lab Medicine for Phy Asst","Course Total","","40","3.738","57.5","35.0","5.0","2.5",".",".",".",".",".",".",".",".",".",".",".","."
"Team Appr-Emergncy Care","448
001","","24","3.625","41.7","41.7","16.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","516
001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","516
002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"Contemp Pro Iss-Phy Assts","Course Total","","23","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
001","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","629
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Surgery Preceptor","Course Total","","15","3.933","86.7","13.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
001","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","639
002","","22","3.841","68.2","31.8",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","639
003","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","639
004","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Primry Care Precpt","Course Total","","31","3.855","71.0","29.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","649
001","","15","3.900","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","649
002","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Phy Asst Internl Med Precpt","Course Total","","18","3.833","72.2","22.2","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"Independent Study","699
003","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"PHY ASST
750","Dept. Total","","267","3.734","64.4","27.3","6.4","1.5","0.4",".",".",".",".",".",".",".",".",".",".","."
"Summary by Level","","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"750
PHY ASST","","","","","","","","","","","","","","","","","","","",""
"Junior","","","5","3.036","20.0","40.0","20.0","20.0",".",".",".",".",".",".",".",".",".",".",".","."
