"TERM : 1104","","","","","Percentage Distribution of Grades","","","","","","","","","","","","","","","","","","","","","Office of the Registrar","",""
"Spring 2009-2010","","","","","","","","","","","","","","","","","","","","","","","","","","Institutional Reporting","",""
"","","","","","University of Wisconsin - Madison","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANESTHESIOLOGY","Section","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANESTHES
148","Dept. Total","153","3.907","80.4","16.3","",".","",".","",".","",".","",".","3.3","",".",".","",".","",".","",".",".",".","."
"Summary by Level","","#","Ave","A","AB","B","","BC","","C","","D","","F","","S","U","","CR","N","","P","","I","","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","","","","","",""
"148
ANESTHES","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Junior","","3","3.833","66.7","33.3","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Senior","","2","4.000","100.0",".","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Undergraduates","","5","3.889","80.0","20.0","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 3","","42","3.940","88.1","11.9","",".","",".","",".","",".","",".",".","",".",".","",".","",".","",".",".",".","."
"Prof Yr 4","","106","3.890","77.4","17.9","",".","",".","",".","",".","",".","4.7","",".",".","",".","",".","",".",".",".","."
"Professionals","","148","3.907","80.4","16.2","",".","",".","",".","",".","",".","3.4","",".",".","",".","",".","",".",".",".","."
"","Dept. Total","153","3.907","80.4","16.3","",".","",".","",".","",".","",".","3.3","",".",".","",".","",".","",".",".",".","."
