"PSYCHIATRY","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"814
PSYCHIAT","","","","","","","","","","","","","","","","","","","",""
"699","017","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"699","039","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","040","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Independent Study","Course Total","","7","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","041","","13","3.423","23.1","53.8","15.4",".","7.7",".",".",".",".",".",".",".",".",".",".","."
"812","042","","10","3.400",".","80.0","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","043","","12","3.750","58.3","33.3","8.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","044","","12","3.417","8.3","66.7","25.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","045","","10","3.700","50.0","40.0","10.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"812","046","","12","3.500","33.3","33.3","33.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Third Year Psychiatry","Course Total","","69","3.529","29.0","50.7","18.8",".","1.4",".",".",".",".",".",".",".",".",".",".","."
"922","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"922","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"PsychCons&OutptClerk-CSC/VA","Course Total","","2","***","","","","","","","","","","","","","","","",""
"923","002","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"923","006","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"SpecAdultPsychClerk-Mendota","Course Total","","2","***","","","","","","","","","","","","","","","",""
"924
Child Psych Clerk-Mendota","003","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","005","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","011","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"946","013","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Child Psych Clerk-CSC","Course Total","","3","***","","","","","","","","","","","","","","","",""
