"COMMUNICATIVE DISORDERS","Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"252
COM DIS","","","","","","","","","","","","","","","","","","","",""
"","110","001","109","3.190","34.9","17.4","27.5","7.3","6.4","1.8","3.7","0.9",".",".",".",".",".",".",".","."
"","110","002","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Intro to Communicative Dis","","Course Total","110","3.197","35.5","17.3","27.3","7.3","6.4","1.8","3.6","0.9",".",".",".",".",".",".",".","."
"Speech Science","201","001","56","3.741","76.8","7.1","10.7","1.8","1.8","1.8",".",".",".",".",".",".",".",".",".","."
"Normal Aspects of Hearing","202","001","47","3.383","42.6","12.8","29.8","8.5","6.4",".",".",".",".",".",".",".",".",".",".","."
"Speech & Lang Functs-Brain","210","001","147","3.759","65.3","22.4","9.5","0.7",".","0.7",".","0.7",".",".",".",".","0.7",".",".","."
"Lang Devlp-Chld & Adolescnt","240","001","115","3.451","57.4","8.7","16.5","2.6","8.7","2.6","0.9","2.6",".",".",".",".",".",".",".","."
"Voice, Craniofac & Fluency Dis","318","001","87","3.408","21.8","47.1","21.8","9.2",".",".",".",".",".",".",".",".",".",".",".","."
"Introduction to Audiology","320","001","104","3.777","73.1","12.5","9.6","2.9","1.0",".",".",".",".",".",".",".","1.0",".",".","."
"PreClin Obs-Chldrn & Adults","371","001","38","3.750","63.2","28.9","5.3",".","2.6",".",".",".",".",".",".",".",".",".",".","."
"Practicum in Comm Disorders","390","001","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Auditory Rehabilitation","425","001","76","3.579","47.4","27.6","19.7","3.9","1.3",".",".",".",".",".",".",".",".",".",".","."
"Manual Coded English-SL II","434","001","16","4.000","93.8",".",".",".",".",".",".","6.3",".",".",".",".",".",".",".","."
"Child Language Disorders","440","001","69","3.566","36.2","42.0","17.4","2.9",".",".",".",".",".",".",".",".","1.4",".",".","."
"Senior Honors Thesis","681","024","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","009","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","025","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","682","040","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Senior Honors Thesis","","Course Total","8","3.938","87.5","12.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","699","006","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","011","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","013","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","014","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","015","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","022","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","024","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","699","025","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","","Course Total","15","3.943","93.3",".","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang&Cogntv-Com Dis in Adults","704","001","31","3.903","87.1","9.7",".","3.2",".",".",".",".",".",".",".",".",".",".",".","."
"Motor Speech Disord/Communictn","705","001","30","3.883","86.7","10.0",".",".","3.3",".",".",".",".",".",".",".",".",".",".","."
"Mgt&Assessmt-Voice Disorder","706","001","31","3.823","71.0","22.6","6.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Lang Probs-Schl Age Chldrn","709","001","26","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Medical Speech Pathology","713","001","30","3.900","83.3","13.3","3.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis-Ped Populatn","750","001","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Capstone: Com Dis in Adults","752","001","16","3.969","93.8","6.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","002","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","003","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","005","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","007","13","3.920","84.6","15.4",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","790","008","4","***","","","","","","","","","",".",".",".",".",".",".","."
"","790","012","7","4.000","85.7",".",".",".",".",".",".",".",".",".",".",".","14.3",".",".","."
"November 12, 2010","","","","","","","","","","","","","","","","","","","Page 185 of 413",""
