"","","","","","","","","(Non-Cross Listed)","","","","","","","","","","","","","","","",""
"MED","","","","","","","","","","","","","","","","","","","","","","","",""
"HUMAN ONCOLOGY","Section","#","Ave","A","AB","","B","BC","C","","D","","F","","S","U","","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","","","","","","",""
"480
H ONCOL","","","","","","","","","","","","","","","","","","","","","","","",""
"410
Radiobiology","001","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","022","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","036","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"699","156","4","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Ind Stdy-Hum Cancer Bio","Course Total","8","3.857","87.5","",".","12.5",".","",".","",".","",".",".","",".",".",".",".",".",".",".","."
"922","003","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"922","004","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"922","005","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"922","006","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"922","045","1","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"Radiation Oncology-CSC","Course Total","5","***","","","","","","","","","","","","","","","","","","","","",""
"990
Rsch in Human Cancer Bio","022","2","***","","","","","","","","","","","","","","",".",".",".",".",".",".","."
"H ONCOL
480","Dept. Total","17","3.853","70.6","",".","11.8",".","",".","",".","",".","11.8","",".",".",".",".",".","5.9",".","."
