"MEDICAL SCIENCES - MED SCH","Section","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"","699
072","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
073","3","***","","","","","","","","","",".",".",".",".",".",".","."
"Directed Study","Course Total","5","***","","","","","","","","","","","","","","","",""
"Integrated Hematology System","703
001","163","3.488","36.8","31.3","25.2","6.1","0.6",".",".",".",".",".",".",".",".",".",".","."
"Integ Gastro & Hepatic Systms","707
001","159","3.570","44.7","24.5","29.6","0.6",".",".",".",".",".",".",".",".",".",".",".","0.6"
"Endocrinology&Reproductive Hth","711
001","162","3.363","29.0","32.1","24.7","9.3","4.3",".",".",".",".",".",".",".",".",".",".","0.6"
"Integrated Musculoskeletal Sys","728
001","159","3.437","32.7","30.8","29.6","5.0","1.9",".",".",".",".",".",".",".",".",".",".","."
"Integrated Neurosciences","729
001","161","3.337","23.0","35.4","28.0","13.0","0.6",".",".",".",".",".",".",".",".",".",".","."
"Anatomy of the Head and Neck","731
001","167","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Med Spanish for Hlth Sci Stdts","735
001","22","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Overview of Rural Health","740
001","32","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Foundations of Medicine 3","757
001","158","3.627","46.2","34.8","15.8","2.5",".",".",".",".",".",".",".",".",".",".",".","0.6"
"Foundations of Medicine 4","759
001","160","3.418","36.9","20.0","33.1","6.3","2.5",".",".",".",".",".",".",".",".",".",".","1.3"
"Consumer Health Advocacy","768
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Consumer Issues in Health Care","769
001","7","3.731","57.1","28.6","14.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 2","801
001","165","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Patient, Doctor & Society 4","807
001","156","3.955","92.3","5.1","1.9",".",".",".",".",".",".",".",".",".",".",".",".","0.6"
"MED SC-M
622","Dept. Total","1677","3.537","32.7","20.6","18.0","4.1","1.0",".",".","21.9",".","1.4",".",".",".",".",".","0.4"
"Summary by Level","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"622
MED SC-M","","","","","","","","","","","","","","","","","","",""
"Sophomore","","1","",".",".",".",".",".",".",".",".",".","100.0",".",".",".",".",".","."
"Senior","","7","",".",".",".",".",".",".",".","14.3",".","85.7",".",".",".",".",".","."
"Undergraduates","","8","",".",".",".",".",".",".",".","12.5",".","87.5",".",".",".",".",".","."
"Special","","1","",".",".",".",".",".",".",".","100.0",".",".",".",".",".",".",".","."
"Graduate","","4","4.000","25.0",".",".",".",".",".",".","50.0",".","25.0",".",".",".",".",".","."
"Prof Yr 1","","353","4.000","0.3",".",".",".",".",".",".","98.0",".","1.7",".",".",".",".",".","."
"Prof Yr 2","","1273","3.541","42.3","26.6","23.1","5.2","1.2",".",".","1.0",".","0.2",".",".",".",".",".","0.5"
"Prof Yr 3","","28","3.210","17.9","17.9","25.0","10.7","3.6",".",".","10.7",".","14.3",".",".",".",".",".","."
"Prof Yr 4","","10","3.708","40.0","20.0","10.0",".",".",".",".","10.0",".","20.0",".",".",".",".",".","."
"Professionals","","1664","3.537","32.9","20.7","18.1","4.1","1.0",".",".","21.8",".","0.9",".",".",".",".",".","0.4"
"","Dept. Total","1677","3.537","32.7","20.6","18.0","4.1","1.0",".",".","21.9",".","1.4",".",".",".",".",".","0.4"
