"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"Pharm Practice Experience II","426
001","","139","3.924","88.5","10.8",".",".",".","0.7",".",".",".",".",".",".",".",".",".","."
"Therpeutcs-PAs&Adv Prac Nur,II","441
001","","30","3.317","30.0","30.0","20.0","13.3","6.7",".",".",".",".",".",".",".",".",".",".","."
"","490
003","","30","3.667","53.3","26.7","20.0",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
004","","16","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
005","","12","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
006","","12","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","490
008","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","80","3.900","80.0","12.5","7.5",".",".",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phm Prac Experience IV","526
056","","134","3.888","82.8","14.9","1.5",".",".","0.7",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy II","556
001","","133","3.218","5.3","43.6","42.9","6.0","2.3",".",".",".",".",".",".",".",".",".",".","."
"Drug Literature Evaluation","570
001","","133","3.538","43.6","29.3","25.6",".",".",".","1.5",".",".",".",".",".",".",".",".","."
"Safety & Quality-Med Use Sys","608
001","","134","3.224","7.5","42.5","38.1","11.2","0.7",".",".",".",".",".",".",".",".",".",".","."
"Intro-Phmceut Care Clrk VI","626
056","","132","3.773","79.5",".","18.9",".","0.8","0.8",".",".",".",".",".",".",".",".",".","."
"Comprehnsv Immunizatn Delivery","650
001","","88","3.193","20.5","29.5","29.5","11.4","8.0","1.1",".",".",".",".",".",".",".",".",".","."
"Pharmacotherapy IV","656
001","","133","2.936","6.8","24.1","36.8","20.3","10.5",".","1.5",".",".",".",".",".",".",".",".","."
"Veterinary Therapeutics","670
001","","30","3.909","86.7","6.7","6.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"","672
001","","24","3.610","29.2","45.8","16.7",".",".",".",".","8.3",".",".",".",".",".",".",".","."
"","672
003","","28","3.619","46.4","32.1","10.7","10.7",".",".",".",".",".",".",".",".",".",".",".","."
"Herbl, Homeopthy&Diet","Course Total","","52","3.615","38.5","38.5","13.5","5.8",".",".",".","3.8",".",".",".",".",".",".",".","."
"","699
005","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
025","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
049","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
072","","3","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
076","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
079","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
083","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","699
090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","21","4.000","95.2",".",".",".",".",".",".",".",".",".",".",".","4.8",".",".","."
"Geriatric Pharmacotherapy","710
001","","11","3.700","54.5","18.2","18.2",".",".",".",".",".",".",".",".",".",".",".","9.1","."
"","740
105","","21","3.905","85.7","9.5","4.8",".",".",".",".",".",".",".",".",".",".",".",".","."
"","740
106","","17","3.882","82.4","11.8","5.9",".",".",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","38","3.895","84.2","10.5","5.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
105","","18","3.944","94.4",".","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","741
106","","14","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Ambulatry Phmceut Care Clrk","Course Total","","32","3.969","96.9",".","3.1",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
005","","71","3.859","77.5","16.9","5.6",".",".",".",".",".",".",".",".",".",".",".",".","."
"","760
006","","81","3.821","79.0","9.9","7.4","3.7",".",".",".",".",".",".",".",".",".",".",".","."
"","760
105","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
115","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","760
116","","1","***","","","","","","","","","",".",".",".",".",".",".","."
