"EDU","","","","","","","","","","","","","","","","","","",""
"OCCUPATIONAL THER (DEPT-KI Section","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","GPA","","","","","","","","","","","","","","","",""
"695
OCC THER","","","","","","","","","","","","","","","","","","",""
"Prof Skills II: Communctn-OT","611
001","24","3.875","75.0","25.0",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Prof Skills IV: Commun OT Prac","613
001","23","3.783","56.5","43.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Infant&Chld Occs&Ther Intrvntn","622
001","24","3.917","83.3","16.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Mid&Late Adlt Occs&Thr Intervn","624
001","23","3.674","39.1","56.5","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"Level-I Fldwk:Infants&Children","625
001","24","3.978","91.7","4.2",".",".",".",".",".",".",".",".",".",".","4.2",".",".","."
"Level-I Fldwk: Mid&Late Adult","627
001","23","3.978","95.7","4.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Med Lectures for Occ Therapy","629
001","24","3.604","45.8","33.3","16.7","4.2",".",".",".",".",".",".",".",".",".",".",".","."
"Fieldwork in Mental Health","662
001","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Fieldwork-Physical Disabil","664
001","2","***","","","","","","","","","",".",".",".",".",".",".","."
"Sci Inquiry in OT II: Methods","672
001","24","3.813","62.5","37.5",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Sci Inquiry-OT IV: Sci Writing","674
001","23","3.957","95.7",".","4.3",".",".",".",".",".",".",".",".",".",".",".",".","."
"OCC THER
695","Dept. Total","215","3.830","70.7","24.2","2.8","0.5",".",".",".",".",".","1.4",".",".","0.5",".",".","."
