"RISK MANAGEMENT AND INSUR Section","","","#","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","","Grades","GPA","","","","","","","","","","","","","","","",""
"241
R M I","","","","","","","","","","","","","","","","","","","",""
"Principles-Risk Management","300","001","244","3.090","32.8","11.1","29.1","7.0","14.3","5.7",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","365","001","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","399","017","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","399","070","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Rdg&Rsch-Risk Management","","Course Total","2","***","","","","","","","","","","","","","","","",""
"Employee Benefits Managemnt","620","001","80","3.244","25.0","22.5","35.0","13.8","2.5","1.3",".",".",".",".",".",".",".",".",".","."
"Mgt-Insurance Enterprise","640","001","56","3.393","35.7","21.4","30.4","10.7","1.8",".",".",".",".",".",".",".",".",".",".","."
"Commercial Insurance","645","001","23","3.478","56.5","17.4","8.7","8.7","4.3","4.3",".",".",".",".",".",".",".",".",".","."
"Sustainbl, Envir&Soc Risk Mgmt","650","001","35","3.500","31.4","42.9","20.0","5.7",".",".",".",".",".",".",".",".",".",".",".","."
"","655","001","37","3.297","32.4","24.3","16.2","24.3","2.7",".",".",".",".",".",".",".",".",".",".","."
"","655","002","15","3.133","20.0","20.0","40.0","6.7","13.3",".",".",".",".",".",".",".",".",".",".","."
"Risk Financing Techniques","","Course Total","52","3.250","28.8","23.1","23.1","19.2","5.8",".",".",".",".",".",".",".",".",".",".","."
"Principles of Risk Mgmt","700","001","29","3.293","27.6","27.6","24.1","17.2","3.4",".",".",".",".",".",".",".",".",".",".","."
"Contemporary Topics","765","001","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"","990","017","2","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","021","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","027","1","***","","","","","","","","","",".",".",".",".",".",".","."
"","990","068","2","***","","","","","","","","","",".",".",".",".",".",".","."
"PhD Thesis-Risk&Insurance","","Course Total","6","",".",".",".",".",".",".",".","83.3",".",".",".","16.7",".",".",".","."
