"PHARMACY PRACTICE","Section","#","","Ave","A","AB","B","BC","C","D","F","S","U","CR","N","P","I","NW","NR","Other"
"","","Grades","","GPA","","","","","","","","","","","","","","","",""
"728
PHM PRAC","","","","","","","","","","","","","","","","","","","",""
"305
Cnsmr SelfCare&OverCountrDrugs","001","","98","2.888","13.3","24.5","26.5","12.2","18.4","3.1","2.0",".",".",".",".",".",".",".",".","."
"425
Pharmacy Practice Experience I","001","","143","3.983","97.2","2.1","0.7",".",".",".",".",".",".",".",".",".",".",".",".","."
"461
Pathways in Pharmacy Practice","001","","143","3.997","99.3","0.7",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"490","002","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"490","010","","10","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Select Topics-Pharmacy Prac","Course Total","","15","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"525
Intro-Phm Prac Experience III","033","","146","3.942","92.5","4.8","1.4","1.4",".",".",".",".",".",".",".",".",".",".",".","."
"550
Fluid & Electrolyte Therapy","001","","85","3.586","38.8","25.9","11.8","4.7","1.2",".",".","17.6",".",".",".",".",".",".",".","."
"553
Pharmacotherapy Skills I","001","","144","3.715","53.5","37.5","8.3",".","0.7",".",".",".",".",".",".",".",".",".",".","."
"555
Pharmacotherapy I","001","","144","2.730","9.7","14.6","26.4","18.8","25.7",".","2.8",".",".",".",".",".",".",".",".","2.1"
"610
Leadership Health-System Pharm","001","","18","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"611
Medical Imaging for Pharmacist","001","","20","3.875","90.0","5.0",".",".","5.0",".",".",".",".",".",".",".",".",".",".","."
"617
Hlth Sys Pharm Analysis & Inf","001","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"638
Nonprescrip Prod & Self-Care","001","","146","3.545","36.3","41.8","17.1","4.1","0.7",".",".",".",".",".",".",".",".",".",".","."
"653
Pharmacotherapy Skills III","001","","146","3.253","11.0","45.2","30.1","11.0","2.7",".",".",".",".",".",".",".",".",".",".","."
"655
Pharmacotherapy III","001","","147","3.357","27.2","33.3","25.9","10.9","2.7",".",".",".",".",".",".",".",".",".",".","."
"670
Veterinary Therapeutics","001","","47","3.989","97.9","2.1",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"671
Intro to Academic Pharmacy I","001","","11","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"676
Seminar in Geriatrics","001","","8","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"677
Seminars in Cardiology","001","","20","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","005","","5","***","","","","","","","","","",".",".",".",".",".",".","."
"699","008","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","022","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","025","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","033","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","035","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","050","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","052","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","057","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"699","072","","4","***","","","","","","","","","",".",".",".",".",".",".","."
"699","085","","6","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"699","089","","2","***","","","","","","","","","",".",".",".",".",".",".","."
"699","090","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"Advanced Independent Study","Course Total","","30","4.000","100.0",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"740","004","","14","3.679","71.4","7.1","7.1","14.3",".",".",".",".",".",".",".",".",".",".",".","."
"740","005","","23","3.804","82.6","8.7",".","4.3","4.3",".",".",".",".",".",".",".",".",".",".","."
"Acute Pharmaceut Care Clerkshp","Course Total","","37","3.757","78.4","8.1","2.7","8.1","2.7",".",".",".",".",".",".",".",".",".",".","."
"741","004","","19","3.789","78.9","10.5",".","10.5",".",".",".",".",".",".",".",".",".",".",".","."
"741","005","","12","3.958","91.7","8.3",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"741","072","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"741","075","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"741","081","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"741","088","","1","***","","","","","","","","","",".",".",".",".",".",".","."
"January 29, 2018","","","","","","","","","","","","","","","","","","","Page 406 of 420",""
